legacy_club_key,external_url,validated_at,quarantine_reason
932895424,http://-,2026-06-11T22:10:18.576Z,
937589938,http://www.fcfootstar.de,2026-06-11T22:10:19.080Z,
941371717,http://www.solerebels.ch,2026-06-11T22:10:19.175Z,
944090321,http://www.rnh-footbag.fr,2026-06-11T22:10:19.481Z,
945062220,http://www.oopsfreestyle.com/,2026-06-11T22:10:19.524Z,
945727621,http://www.footbag.ee,2026-06-11T22:10:19.820Z,
954433125,http://www.frankfurtfootbag.de,2026-06-11T22:10:20.296Z,
959505527,http://modified.in/footbag/viewtopic.php?t=6716,2026-06-11T22:10:21.644Z,
987996594,http://www.FootbagCanada.com/,2026-06-11T22:10:22.096Z,
988620638,http://www.footbag.com.pl,2026-06-11T22:10:22.908Z,
991075770,http://bigdirtyfoot.tripod.com/footbag,2026-06-11T22:10:23.878Z,
995103575,http://www.footbag-vienna.com,2026-06-11T22:10:24.193Z,
997044279,http://www.rochesterfootbag.com,2026-06-11T22:10:24.365Z,
997985351,http://www.footbag.fr/forum,2026-06-11T22:10:24.846Z,
999606033,http://www.footfighter.pro.info.pl,2026-06-11T22:10:25.208Z,
aqaf,http://www.akifilet.com,2026-06-11T22:10:25.374Z,
austin,http://https://www.facebook.com/groups/216661849514732/,2026-06-11T22:10:35.387Z,
czech-republic,http://www.footbag.cz,2026-06-11T22:10:35.578Z,
kits,http://www.facebook.com/notes.php?id=94501474233#!/pages/Vancouver-BC/Kitsilano-Footbag-Association/94501474233?ref=ts&__a=17&ajaxpipe=1,2026-06-11T22:10:35.593Z,
memphis,http://www.memphisfootworks.com,2026-06-11T22:10:35.748Z,
mfa,http://www.kickforhealth.org/Midwest_Footbag_Association/MFA_Home.html,2026-06-11T22:10:35.788Z,
nyfa,http://sports.groups.yahoo.com/group/nyfootbag/,2026-06-11T22:10:36.105Z,
pihlis-puls,http://www.niksula.cs.hut.fi/~osavolai,2026-06-11T22:10:37.453Z,
schwa,http://www.windycitycup.org,2026-06-11T22:10:37.493Z,
seattle-freestyle,http://raincityshred.home.comcast.net,2026-06-11T22:10:37.904Z,
sphere,http://www.elementalfootbags.com,2026-06-11T22:10:38.254Z,
zion-fr,http://www.footbag.fr/forum/,2026-06-11T22:10:38.258Z,
