submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
DOD Osis (Motion),dodosismotion,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
DOD/Double Over Down,doddoubleoverdown,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Butterfly (Paradon),doublebutterflyparadon,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Butterfly Dragon (Pteradon),doublebutterflydragonpteradon,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Drifter (High Plains Drifter),doubledrifterhighplainsdrifter,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Mirage (Barrage),doublemiragebarrage,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Reverse Swirl (Revstein),doublereverseswirlrevstein,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Spinning Double Down (Spinning Scorpion\u2019s Tail),doublespinningdoubledownspinningscorpionu2019stail,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Swirling Dragon (Dragon Stein),doubleswirlingdragondragonstein,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Twirl (Dwirl),doubletwirldwirl,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Wauxpin (Paradauxpin),doublewauxpinparadauxpin,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Double Whirling Swirl (Whirring Swirl),doublewhirlingswirlwhirringswirl,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
double-dex Drifter/(midtime) Barraging far Clipper,doubledexdriftermidtimebarragingfarclipper,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking Far Legover,duckingfarlegover,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Ducking Far Osis,duckingfarosis,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
