submitted_name,normalized_name,proposed_formula,matched_existing_object,match_type,ev_state,hold_kind,failure_class,final_disposition,blocker_subtype,residual_home,confidence,source,note,object_type,evidence_state,blocker_id,owner
Spinning Ducking Reverse Whirling Swivel (Black Hole ?),spinningduckingreversewhirlingswivelblackhole,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Ducking Voodoo (Wonderland),spinningduckingvoodoowonderland,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning far Blender,spinningfarblender,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning far Drifter,spinningfardrifter,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Miraging Symposium Miraging Refraction (Anonymous),spinningmiragingsymposiummiragingrefractionanonymous,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Motion (Motion Sickness),spinningmotionmotionsickness,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning near Drifter,spinningneardrifter,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Pdx DLO,spinningpdxdlo,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Pdx Drifter,spinningpdxdrifter,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Pdx Illusion,spinningpdxillusion,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Pdx Mirage,spinningpdxmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Pdx Whirl,spinningpdxwhirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning PS Whirling Swirl (Swirlwind),spinningpswhirlingswirlswirlwind,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spinning Symp Swirl,spinningsympswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Spyro Gyro (Gyro Butterfly Swirl),spyrogyrogyrobutterflyswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping Ducking Far Butterfly,steppingduckingfarbutterfly,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping Far Butterfly Swirl,steppingfarbutterflyswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,MULTI,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping Far Dyno,steppingfardyno,,same-formula-row,formula-identity,alias,alias,,A,,,high,MULTI,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping far Eggbeater,steppingfareggbeater,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping far Swirl,steppingfarswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Stepping near Butterfly Swirl,steppingnearbutterflyswirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Strong side (strong),strongsidestrong,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Super Fly XBD Rake (Super Fly Swatter),superflyxbdrakesuperflyswatter,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Superduperfly / Poisonous Toe,superduperflypoisonoustoe,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surfing Blender (Big Papa Smurf),surfingblenderbigpapasmurf,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surfing ss Swivel (Serval),surfingssswivelserval,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surging Blender (Margaritaville),surgingblendermargaritaville,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surging Double Down (Venom),surgingdoubledownvenom,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surging Ducking Motion (Overdose),surgingduckingmotionoverdose,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surging Superfly (Finnishfly),surgingsuperflyfinnishfly,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Surging Symposium Torque (Chilly Philly Sauce),surgingsymposiumtorquechillyphillysauce,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Swirling Dragon (Spitfire),swirlingdragonspitfire,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Swirling Osis (Reverse Twirl),swirlingosisreversetwirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp DOD,sympdod,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Eggbeater,sympeggbeater,,same-formula-row,formula-identity,alias,alias,,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Illusion (same side),sympillusionsameside,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Mirage,sympmirage,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Mirage (same side),sympmiragesameside,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Whirl,sympwhirl,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symp Whirl (same side),sympwhirlsameside,,same-formula-row,formula-identity,alias,alias,,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symposium Bubba Butterfly (Gaywalk),symposiumbubbabutterflygaywalk,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symposium Scattered Swirl (Double Helix),symposiumscatteredswirldoublehelix,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symposium Whirling Flapper (Singularity),symposiumwhirlingflappersingularity,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Symposium Whirling Swirling Mirage (Croxton),symposiumwhirlingswirlingmiragecroxton,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Tapping Paradon (Kiwi),tappingparadonkiwi,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Tapping Swivel (Bidet),tappingswivelbidet,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
TATW/Triple ATW,tatwtripleatw,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,PB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Terraging ss Clipper (Terawhirl),terragingssclipperterawhirl,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Tobius,tobius,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Toe Gyro Torque (Tobyus),toegyrotorquetobyus,,same-formula-row,formula-identity,alias,alias,,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Toe Spinning Double Down (Scorpion’s Toe Nail),toespinningdoubledownscorpionstoenail,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Torch-r Rack torture rack (Stepping Superfly),torchrracktortureracksteppingsuperfly,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Triple Over Down (Orpheus),tripleoverdownorpheus,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Triple Pixie (Trixie),triplepixietrixie,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Twinspinning Mirage (Tornado),twinspinningmiragetornado,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Twisted (Dragon set Swirling Paradox),twisteddragonsetswirlingparadox,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Twisted Mirage (Twist),twistedmiragetwist,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Warped Butterfly (Peg Leg Beater),warpedbutterflypeglegbeater,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Warped Mirage (Warp),warpedmiragewarp,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Warped Symposium Mirage (Warp Speed),warpedsymposiummiragewarpspeed,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Whirl/swirl,whirlswirl,,same-formula-row,formula-identity,alias,alias,ambiguous-terminal-mechanic,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Wonton Butterfly (Frontside Tripwalk),wontonbutterflyfrontsidetripwalk,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Wonton Illusion (Frontside Toe Blizzard),wontonillusionfrontsidetoeblizzard,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Wonton Mirage (Frontside Toe Blur),wontonmiragefrontsidetoeblur,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Wrecking Torque (Spinning Mobius),wreckingtorquespinningmobius,,same-formula-row,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
X(unwrap),xunwrap,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
X_(walk),xwalk,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Zipwalk,zipwalk,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FM,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Zoid,zoid,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,FB,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Zulu Far Clipper (Red Ribbon),zulufarclipperredribbon,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Zulu Infinity (Zulu Le Loup),zuluinfinityzululeloup,,same-formula-row,formula-identity,alias,alias,folk-name-opacity,A,,,high,SG,section=folk intake=alias,complete-trick,compositional-name-only,,mechanical
Da Da Curve Swirl,dadacurveswirl,dada curve + swirl-chain terminal replacement (butterfly-swirl convention),dada_curve_swirl,promoted-canonical,canonical,canonical,,A,,,high,SG,section=parser intake=low_confidence promoted=2026-07-14-authoring-queue-batch,complete-trick,compositional-name-only,,mechanical
Inward Gyro Butterfly,inwardgyrobutterfly,,,,doctrine,doctrine,unknown-modifier-token,C,doctrine:inward_gyro_direction,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-inward-direction-unsettled,complete-trick,compositional-name-only,Q09,james+red
Inward Gyro Flail,inwardgyroflail,,,,doctrine,doctrine,unknown-modifier-token,C,doctrine:inward_gyro_direction,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-inward-direction-unsettled,complete-trick,compositional-name-only,Q09,james+red
Inward Gyro Guay,inwardgyroguay,,gyro_guay,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-redundant-restatement-of-live-canonical,complete-trick,compositional-name-only,,mechanical
Inward Gyro Illusion,inwardgyroillusion,,,,doctrine,doctrine,unknown-modifier-token,C,doctrine:inward_gyro_direction,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-inward-direction-unsettled,complete-trick,compositional-name-only,Q09,james+red
Inward Gyro Mirage,inwardgyromirage,,gyro_mirage,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-redundant-restatement-of-live-canonical,complete-trick,compositional-name-only,,mechanical
Inward Gyro Reverse Guay,inwardgyroreverseguay,,gyro_reverse_guay,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-redundant-restatement-of-live-canonical,complete-trick,compositional-name-only,,mechanical
Inward Gyro Symposium Mirage,inwardgyrosymposiummirage,,gyro_symposium_mirage,formula-identity,alias,alias,unknown-modifier-token,A,,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-redundant-restatement-of-live-canonical,complete-trick,compositional-name-only,,mechanical
Nuclear Ducking Mirage,nuclearduckingmirage,,,,doctrine,doctrine,compression-ambiguity,C,doctrine:sumo_xdex_rider,,high,FM,section=frontier intake=unresolved_candidate requeue=ruled-2026-07-14-coupled-to-sumo-provisional-xdex-rider,complete-trick,compositional-name-only,Q11,james+red
Nuclear Ducking Mirage (Sumo Thong),nuclearduckingmiragesumothong,,,,doctrine,doctrine,compression-ambiguity,C,doctrine:sumo_xdex_rider,,high,SG,section=frontier intake=unresolved_candidate requeue=ruled-2026-07-14-coupled-to-sumo-provisional-xdex-rider folk-name-reserved=sumo-thong,complete-trick,compositional-name-only,Q11,james+red
Pixie Inward Gyro Mirage,pixieinwardgyromirage,,,,doctrine,doctrine,unknown-modifier-token,C,doctrine:inward_gyro_direction,,high,SG,section=parser intake=low_confidence requeue=ruled-2026-07-14-inward-direction-unsettled,complete-trick,compositional-name-only,Q09,james+red
Toe set Gyro Torque,toesetgyrotorque,,mobius,formula-identity,alias,alias,unknown-modifier-token,A,,,high,FM,section=parser intake=low_confidence requeue=ruled-2026-07-14-entry-surface-only-divergence-of-mobius,complete-trick,compositional-name-only,,mechanical
Alpine Blurry Whirl,alpineblurrywhirl,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,PB,section=doctrine intake=doctrine_unresolved,complete-trick,compositional-name-only,Q01,james+red
Blurry (Stepping Paradox),blurrysteppingparadox,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,FB,section=frontier intake=unresolved_candidate,set-operator,not-applicable,,mechanical
Blurry Barfly Swirl (Blurriest Swirl),blurrybarflyswirlblurriestswirl,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Barrage,blurrybarrage,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Barrage (Blurrage),blurrybarrageblurrage,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Butterfly (Ripwalk),blurrybutterflyripwalk,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Butterfly Swirl (Riptide),blurrybutterflyswirlriptide,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Butterfly Swivel (Puree),blurrybutterflyswivelpuree,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Chainsaw Massacre,blurrychainsawmassacre,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Clipper,blurryclipper,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Da Da Curve,blurrydadacurve,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Double Legover,blurrydoublelegover,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Barfly (Leviathan),blurryduckingbarflyleviathan,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Blender,blurryduckingblender,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Butterfly (Ripped Warrior),blurryduckingbutterflyrippedwarrior,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Butterfly Swirl (Cyborg),blurryduckingbutterflyswirlcyborg,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Eggbeater,blurryduckingeggbeater,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Eggbeater (Golden Shower),blurryduckingeggbeatergoldenshower,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Illusion (Avalanche),blurryduckingillusionavalanche,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Mirage,blurryduckingmirage,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Mirage (Spike Hammer),blurryduckingmiragespikehammer,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Motion (Syberian Express),blurryduckingmotionsyberianexpress,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking PS Mirage,blurryduckingpsmirage,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking PS Whirl,blurryduckingpswhirl,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Torque,blurryduckingtorque,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Torque (Gauntlet),blurryduckingtorquegauntlet,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Ducking Voodoo (Hell Raiser),blurryduckingvoodoohellraiser,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Dyno (Grab Your Balls And Squeeze),blurrydynograbyourballsandsqueeze,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Eggbeater,blurryeggbeater,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Eggbeater (Bed Wetter),blurryeggbeaterbedwetter,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Flail (Backside Blizzard),blurryflailbacksideblizzard,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Flurry,blurryflurry,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Guay,blurryguay,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Illusion,blurryillusion,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Illusion (Blizzard),blurryillusionblizzard,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Illusioning Paradox Symposium Eggbeater,blurryillusioningparadoxsymposiumeggbeater,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Legover,blurrylegover,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Mirage,blurrymirage,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,FM,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Mirage (Blur),blurrymirageblur,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Motion (Locomotion),blurrymotionlocomotion,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Osis (Crispy Torque),blurryosiscrispytorque,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Pickup,blurrypickup,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry PS Whirling XBD Rake (Warlock) (Sasquatch),blurrypswhirlingxbdrakewarlocksasquatch,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Reaper,blurryreaper,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Reverse Guay,blurryreverseguay,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Reverse Whirl,blurryreversewhirl,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Symposium DLO,blurrysymposiumdlo,,,,doctrine,blurry_expansion,compression-ambiguity,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Symposium Eggbeater,blurrysymposiumeggbeater,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Symposium Mirage (Backside Blur),blurrysymposiummiragebacksideblur,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
Blurry Symposium Reverse Whirl,blurrysymposiumreversewhirl,,,,doctrine,blurry_expansion,,C,doctrine:blurry_expansion,Scoring paper,high,SG,section=frontier intake=unresolved_candidate,complete-trick,compositional-name-only,Q01,james+red
