t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
fairy_ducking_butterfly,paradox_torque,paradox_blender,1,2009,,5,5,5,15,,VPP,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->CLIP | ANY->CLIP | ANY->CLIP
fairy_ducking_butterfly,fog,pixie_paradon,1,2015,,5,5,5,15,,VSP,UNDETERMINED,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,TOE->CLIP | CLIP->TOE | TOE->TOE
fog,smoke,mullet,1,2009,Jeremy Masselis,5,4,6,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
fog,dimmiest,paradox_torque,1,2019,Nathan Bonslaver,5,5,5,15,,SSP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->TOE | TOE->CLIP | ANY->CLIP
fury,reactor,sole_survivor,1,2007,,5,5,5,15,,SSP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
fury,fusion,paradox_symposium_eggbeater,3,2008|2012,Christopher Schillem|Milan Benda,5,5,5,15,,SPS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->TOE
fury,fusion,paradox_symposium_whirl,1,2019,Christopher Schillem,5,5,5,15,,SPS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
goliath,phoenix,motion,1,2004,,5,5,5,15,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry TOE != CLIP, but sibling locomotion fits",TOE->TOE | TOE->CLIP | TOE->CLIP
matador,fog,pixie_torque,1,2005,,5,5,5,15,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,CLIP->CLIP | CLIP->TOE | TOE->CLIP
matador,sumo,phoenix,1,2007,,5,5,5,15,,PPP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,CLIP->CLIP | CLIP->TOE | TOE->CLIP
matador,blurry_whirl,superfly,3,2013|2016,Alexander Trenner,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
matador,blurry_whirl,paradox_torque,1,2016,,5,5,5,15,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | CLIP->CLIP | ANY->CLIP
mobius,mobius,superfly,2,2005,,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
paradox_symposium_whirl,paradox_torque,paradox_blender,1,2018,Roman Huber,5,5,5,15,,SPP,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | ANY->CLIP | ANY->CLIP
phoenix,blurry_whirl,paradox_symposium_whirl,2,2005|2019,Taishi Ishida,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
phoenix,ripped_warrior,paradox_symposium_whirl,1,2009,,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
phoenix,paradox_torque,paradox_symposium_whirl,1,2009,,5,5,5,15,,PPS,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | ANY->CLIP | CLIP->CLIP
pixie_paradon,blurry_whirl,mobius,1,2009,,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry CLIP != TOE, but sibling atomic_symposium_whirl fits",COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | CLIP->CLIP | CLIP->CLIP
ripped_warrior,tomahawk,paradox_symposium_whirl,2,2006,Eric Siegel,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
ripped_warrior,blurry_whirl,paradox_symposium_whirl,2,2006,Justin Dale,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
ripped_warrior,sumo,fusion,1,2006,,5,5,5,15,,SPP,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,CLIP->CLIP | CLIP->TOE | TOE->CLIP
ripped_warrior,paradox_torque,paradox_symposium_whirl,1,2018,Przemek Pietrzycki,5,5,5,15,,SPS,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | ANY->CLIP | CLIP->CLIP
sailing_butterfly,blurry_whirl,paradox_torque,1,2016,Andreas Nawrath,5,5,5,15,,VSP,UNDETERMINED,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->CLIP | CLIP->CLIP | ANY->CLIP
sumo,atomic_butterfly,mullet,1,2005,Kamil Wysocki,5,4,6,15,,PSS,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
sumo,fusion,paradox_symposium_eggbeater,1,2005,,5,5,5,15,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->TOE
sumo,pixie_paradon,blurriest,1,2006,,5,5,5,15,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,APPARENTLY_INCOMPATIBLE,A ends TOE; B requires CLIP entry,CLIP->TOE | TOE->TOE | CLIP->CLIP
sumo,phoenix,paradox_symposium_whirl,1,2007,,5,5,5,15,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
atomic_butterfly,blurry_whirl,paradox_symposium_whirl,1,2008,,4,5,5,14,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
barraging_butterfly,bedwetter,paradon_swirl,1,2008,Jorden Moir,5,4,5,14,,VSS,UNDETERMINED,APPARENTLY_INCOMPATIBLE,A ends CLIP; B requires TOE entry,COMPATIBLE,A ends TOE; B enters TOE,ANY->CLIP | TOE->TOE | TOE->CLIP
