t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
smoke,fog,pixie,1,2008,,4,5,2,11,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends TOE; B enters TOE,TOE->CLIP | CLIP->TOE | TOE->TOE
spinning_paradox_mirage,quantum_mirage,symposium_whirl,1,2008,Matt Kemmer,4,3,4,11,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,CLIP->TOE | TOE->TOE | ANY->CLIP
paradon,double_leg_over,drifter,1,2018,,4,3,3,10,,SPS,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,TOE->CLIP | ANY->TOE | ANY->CLIP
ripwalk,dyno,mirage,1,2006,Jasper Johansen,4,4,2,10,,SSP,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | ANY->CLIP | ANY->TOE
ripwalk,paradox_mirage,double_leg_over,1,2007,,4,3,3,10,,SPP,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,CLIP->CLIP | CLIP->TOE | ANY->TOE
smear,dimwalk,spinning_clipper,1,2006,Michael Nielsen,3,4,3,10,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | TOE->CLIP | CLIP->CLIP
smear,dimwalk,double_leg_over,1,2007,,3,4,3,10,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->TOE | TOE->CLIP | ANY->TOE
smear,dimwalk,whirl,1,2007,,3,4,3,10,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->TOE | TOE->CLIP | ANY->CLIP
butterfly,paradox_mirage,butterfly,1,2018,Ivan Iakimenko,3,3,3,9,,PPP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,ANY->CLIP | CLIP->TOE | ANY->CLIP
diving_clipper,ducking_clipper,whirl,1,2019,Cristoph Alexander,3,3,3,9,,PPP,SAME_FOOT,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry TOE != CLIP, but sibling clipper fits",COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,ANY->CLIP | TOE->CLIP | ANY->CLIP
paradox_mirage,double_around_the_world,double_leg_over,1,2009,,3,3,3,9,,PPP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,CLIP->TOE | TOE->TOE | ANY->TOE
pixie,legover,mirage,1,2005,,2,2,2,6,,SSP,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,TOE->TOE | ANY->TOE | ANY->TOE
around_the_world,mirage,toe_stall,1,2003,,2,2,1,5,,PPP,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,TOE->TOE | ANY->TOE | ANY->TOE
around_the_world,legover,clipper,1,2016,Asmus Helms,2,2,1,5,,PSU,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,COMPATIBLE_WITH_POSITIONAL_VARIANT,"B entry CLIP != TOE, but sibling atomic_clipper fits",TOE->TOE | ANY->TOE | CLIP->ANY
legover,toe_stall,inside_stall,1,2016,,2,1,1,4,,SPP,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends TOE; B entry is a generic set,ANY->TOE | ANY->TOE | ANY->INSIDE
