canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
double-over-down-swirl,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],,,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],no-stanford,fborg=5;fm=5,5,5,0,none,0
double-spinning-osis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,2,,body(1) + body(1) + osis(3) --> 5 ADDs,,,X.\//-X,,parser-clean,fm=4;stanford=5,4,5,1,small,0
down-diver,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fm_inventory,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,,Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),no-stanford,fborg=5;fm=5,5,5,0,none,0
dragon,,1_safest,,promote_with_notation,4,4,"fm,internal_ts,passback,stanford","fm_symbolic_grammar,passback_intake,stanford_corpus,tracked_names_ts",0,,,0,0,3,,cross-body(1) + stall(1) --> 2 ADDs,,Xbd Outside Stall,*. D,,parser-clean,fm=2;stanford=2,2,2,0,none,0
dragster,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> Op In (DEX) > Same Dragon (XBD)(DEL),,,X.-1+D,Clip >> Op In (DEX) > Same Dragon (XBD)(DEL),parser-clean,fm=3;stanford=3,3,3,0,none,0
ducking-clipper,ducking clipper,1_safest,,backfill_canonical_op_notation,4,3,"canonical,fm,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,stanford_corpus",1,canonical_active,3,0,0,1,,,,,Z^+X,,parser-clean,canonical=3;fm=3;stanford=3,3,3,0,none,0
ducking-illusion,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z^-0-Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
ducking-legover,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z^-0+Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
ducking-mirage,,1_safest,,promote_with_notation,4,3,"fborg,fm,stanford","fborg_insert_staging,fm_inventory,fm_symbolic_grammar,stanford_corpus",0,,,0,0,3,,ducking(+1) + mirage(2) --> 3 ADDs,ducking(+1) + mirage(2) --> 3 ADDs,,Z^-1-Z,,parser-clean,fborg=3;fm=3;stanford=3,3,3,0,none,0
ducking-pickup,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z^-1+Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
