canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
margaritaville,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,X\+1.-1\+X,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
maverick,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z+1.\+X,Toe > Same In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
miraging-eclipse,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND),SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND),,,SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND),no-stanford,fborg=4;fm=4,4,4,0,none,0
moirius,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX)(BOD) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,X.\+!1-0\+X,Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX)(BOD) > Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
nallegam,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,passback","fm_inventory,fm_symbolic_grammar,passback_intake,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) >> Same In (DEX) > Same Toe (DEL),,Fairy near Pickup,,Toe > Same Out (DEX) >> Same In (DEX) > Same Toe (DEL),no-stanford,fm=3;passback=2,2,3,1,small,0
neutron-smasher,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL),,,Z-0.\-1-Z,Toe > Op Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
nobius,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > (back) Spin (BOD) > Same In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),,,X\+1.\+X,Clip > (back) Spin (BOD) > Same In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
nuclear-illusion,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X+0.-0-Z,,parser-clean,fm=4;stanford=5,4,5,1,small,0
nuclear-legover,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X+0.-0+Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
nuclear-pickup,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X+0.-1+Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
nuclear-whirl,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],,X+0.-1-X,CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=5;fm=5;stanford=6,5,6,1,small,0
ocean,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z.-0+0\+X,Toe >> Op Out (DEX) > Same Out (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
odula,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > Op In (DEX) >> Dive (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,X-1&-1\+X,Clip > Op In (DEX) >> Dive (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
oh-wheely,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip > Same Out (DEX)(PDX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Out (DEX) > Same Toe (DEL),,,X+0.-!1-0+Z,Clip > Same Out (DEX)(PDX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Out (DEX) > Same Toe (DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
orpheus,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,,Z.+0+0+0-X,Toe >> Same Out (DEX) > Same Out (DEX)(XDEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=6;stanford=5,5,6,1,small,0
osmosis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z-1.\+X,Toe > Op In (DEX) >> (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
overlord,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,,Z+1.\+1\+X,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),parser-clean,fm=7;stanford=7,7,7,0,none,0
paradox-da-da-curve,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL],,X.+1-!0-X,CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=5;fm=5;stanford=5,5,5,0,none,0
paradox-illusion,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL],CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL],,X.+0-Z,CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL],parser-clean,fborg=3;fm=3;stanford=3,3,3,0,none,0
paradox-ripwalk,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],,X+1.-0-X,CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=5;fm=5;stanford=5,5,5,0,none,0
paradox-whirl,paradox whirl,1_safest,,backfill_canonical_op_notation,4,4,"canonical,fborg,fm,stanford","canonical_db,fborg_text,fm_symbolic_grammar,stanford_corpus",1,canonical_active,4,1,0,4,PARADOX WHIRL,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,X.+1-X,,parser-clean,canonical=4;fborg=4;fm=4;stanford=4,4,4,0,none,0
parallax,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Same Toe (DEL),,,X.\+0+Z,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Same Toe (DEL),parser-clean,fm=3;stanford=3,3,3,0,none,0
pendulum,pendulum,1_safest,,publish_as_is,4,4,"canonical,fborg,fm,stanford","canonical_db,fborg_text,fm_symbolic_grammar,stanford_corpus",1,canonical_active,2,1,1,4,SET > TOE SWING [DEL],stall(1) + dex(1) --> 2 ADDs,[del] [dex],,U,,parser-clean,canonical=2;fborg=2;fm=2;stanford=2,2,2,0,none,0
philibuster,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same Out (DEX) > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL),,,Z+0-0.-1-Z,Toe > Same Out (DEX) > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
pixie,pixie,1_safest,,backfill_canonical_op_notation,4,4,"canonical,fborg,fm,stanford","canonical_db,fborg_text,fm_symbolic_grammar,stanford_corpus",1,canonical_active,2,1,0,4,PIXIE,TOE > SAME IN [DEX] > OP TOE [DEL],TOE > SAME IN [DEX] > OP TOE [DEL],,Z+1.-Z,,parser-clean,canonical=2;fborg=3;fm=2;stanford=2,2,3,1,small,0
pixie-ducking-legover,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1^-0+Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
pixie-ducking-mirage,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1^-1-Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
pixie-ducking-pickup,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1^-1+Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
pixie-eclipse,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND),TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND),,,TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND),no-stanford,fborg=4;fm=4,4,4,0,none,0
pixie-eggbeater,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1.-0-0+Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
pixie-legover,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1.-0+Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
pixie-osis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),,,Z+1./-X,Toe > Same In (DEX) >> (front) Spin (BOD) > Op Clip (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
pixie-paradon,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,Z+1.-0+0-X,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=5;fm=5;stanford=5,5,5,0,none,0
pixie-pickup,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1.-1+Z,,parser-clean,fm=3;stanford=3,3,3,0,none,0
pixie-torque,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,Z+1.-1/-X,,parser-clean,fm=5;stanford=5,5,5,0,none,0
plo,,1_safest,,promote_with_notation,4,4,"fm,internal_ts,passback,stanford","fm_symbolic_grammar,passback_intake,stanford_corpus,tracked_names_ts",0,,,0,0,2,,,,Pixie far Legover,Z+1.-0+Z,,parser-clean,fm=3;passback=2;stanford=3,2,3,1,small,0
pogo-barfly,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,X-!1.-0+0-X,CLIP > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=5;fm=5;stanford=5,5,5,0,none,0
pogo-pickup,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > (NO PLANT WHILE) OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],CLIP > (NO PLANT WHILE) OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],,X-!1.-1+Z,CLIP > (NO PLANT WHILE) OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],parser-clean,fborg=3;fm=3;stanford=3,3,3,0,none,0
pogo-voodoo,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],,X-!1.-1-!1-Z,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],parser-clean,fborg=6;fm=6;stanford=7,6,7,1,small,0
ps-mirage,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X.+!1-Z,,parser-clean,fm=4;stanford=4,4,4,0,none,0
pteradon,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe >> Op Out (DEX) >> Same Out (DEX) >> Op Dragon (XBD)(DEL),,,Z.-0+0-D,Toe >> Op Out (DEX) >> Same Out (DEX) >> Op Dragon (XBD)(DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
puck,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),,,Z+1^-0+Z,Toe > Same In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
quagmire,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op In (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL),,,Z-1.\-1-Z,Toe > Op In (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL),parser-clean,fm=4;stanford=4,4,4,0,none,0
quantanamera,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op In (DEX) >> Duck (BOD) >> Same Out (DEX) > Op Clip (XBD)(DEL),,,Z-1^+0-X,Toe > Op In (DEX) >> Duck (BOD) >> Same Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
quantum-drifter,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],,Z-1.-1+X,TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],parser-clean,fborg=4;fm=4;stanford=5,4,5,1,small,0
quantum-illusion,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_text,fm_inventory,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,1,,,TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],,,,no-stanford,fborg=3;fm=3,3,3,0,none,0
quantum-mirage,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_text,fm_inventory,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,1,,,TOE > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],,,,no-stanford,fborg=3;fm=3,3,3,0,none,0
quantum-whirl,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],,Z-1.-1-X,TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=4;fm=4;stanford=5,4,5,1,small,0
rasmus,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),,,Z-0^-1-Z,Toe > Op Out (DEX) >> Duck (BOD) >> Op In (DEX)(XDEX) > Op Toe (DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
red-ribbon,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> Dive (BOD) >> Op Clip (XBD)(DEL),,,X&-X,Clip >> Dive (BOD) >> Op Clip (XBD)(DEL),parser-clean,fm=3;stanford=3,3,3,0,none,0
scrambled-eggbeater,scrambled eggbeater,1_safest,,publish_as_is,4,3,"canonical,fm,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,stanford_corpus",1,canonical_active,3,1,1,3,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME TOE [DEL],Toe > Op Out (DEX) >> Op In (DEX) > Same Toe (DEL),,,Z-0.-1+Z,,parser-clean,canonical=3;fm=3;stanford=3,3,3,0,none,0
sidewalk,sidewalk,1_safest,,backfill_canonical_op_notation,4,3,"canonical,fm,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,stanford_corpus",1,canonical_active,4,1,0,3,SIDEWALK,Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,,X-1.+0-X,,parser-clean,canonical=4;fm=4;stanford=4,4,4,0,none,0
singularity,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> (no plant while) Op Front Whirl (DEX)(BOD) >> Op Flapper (XBD)(UNS)(DEL),,,*.-!1-xS,Clip >> (no plant while) Op Front Whirl (DEX)(BOD) >> Op Flapper (XBD)(UNS)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
slapstick,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),,,Z+1.\+1-X,Toe > Same In (DEX) >> (back) Spin (BOD) >> Same Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),parser-clean,fm=6;stanford=6,6,6,0,none,0
spanish-fly,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Clip >> Duck (BOD) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,,X^+0+0-X,Clip >> Duck (BOD) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
spike-hammer,,1_safest,,promote_with_notation,4,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],,X-1^-1-Z,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],parser-clean,fborg=5;fm=5;stanford=5,5,5,0,none,0
spinning-butterfly,spinning butterfly,1_safest,,backfill_canonical_op_notation,4,3,"canonical,fm,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,stanford_corpus",1,canonical_active,4,0,0,2,,spinning(+1) + butterfly(3) --> 4 ADDs,,,X.\-0-X,,parser-clean,canonical=4;fm=4;stanford=4,4,4,0,none,0
spinning-clipper,spinning clipper,1_safest,,backfill_canonical_op_notation,4,3,"canonical,fm,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,stanford_corpus",1,canonical_active,3,0,0,2,,spinning(+1) + clipper-stall(2) --> 3 ADDs,,,X.\+X,,parser-clean,canonical=3;fm=3;stanford=3,3,3,0,none,0
spinning-ducking-butterfly,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X\^-0-X,,parser-clean,fm=5;stanford=5,5,5,0,none,0
spinning-ducking-clipper,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X\^+X,,parser-clean,fm=4;stanford=4,4,4,0,none,0
spinning-ducking-osis,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,1,,,,,X\^\-X,,parser-clean,fm=5;stanford=5,5,5,0,none,0
spinning-symposium-down-double-down,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,,CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],no-stanford,fborg=6;fm=6,6,6,0,none,0
stampede,,1_safest,,promote_with_notation,4,3,"fm,internal_ts,stanford","fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,Toe > (no plant while) Op Out (DEX)(BOD) >> (no plant while) Same In (DEX)(BOD) > Op Toe (DEL),,,Z-!0.+!1-Z,Toe > (no plant while) Op Out (DEX)(BOD) >> (no plant while) Same In (DEX)(BOD) > Op Toe (DEL),parser-clean,fm=5;stanford=5,5,5,0,none,0
stepping-ducking-mirage,,1_safest,,promote_with_notation,4,3,"fborg,fm,internal_ts","fborg_insert_staging,fborg_text,fm_symbolic_grammar,tracked_names_ts",0,,,0,0,3,,CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL],CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL],,,CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL],no-stanford,fborg=4;fm=4,4,4,0,none,0
