"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Firewalk","firewalk","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Fission","fission","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Flaming Homer","flaming-homer","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Flaming Tard","flaming-tard","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Flipwalk","flipwalk","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Floatation","floatation","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Flying Fish","flying-fish","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Forquelift","forquelift","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Fracture","fracture","3 Observationally represented","A","multi","","","full","","high",""
"Frankenstein","frankenstein","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Frantic Legover","frantic-legover","3 Observationally represented","A","passback","","","full","","none",""
"Freak","freak","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Frenzy","frenzy","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Furnace","furnace","3 Observationally represented","A","footbagmoves","","","full","","low",""
"G.Y.B.A.S.","gybas","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Genesis","genesis","3 Observationally represented","A","multi","","","full","","high",""
"Genuphobia","genuphobia","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Gilan","gilan","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Glaucoma","glaucoma","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Godzilla","godzilla","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Golden Shower","golden-shower","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Grifter","grifter","3 Observationally represented","A","multi","","","full","","high",""
"Heart","heart","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Hurl","hurl","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Icarus","icarus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Icon","icon","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Ill Frenzy","ill-frenzy","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Infinity","infinity","3 Observationally represented","A","passback","","","full","","none",""
"Irish Cream","irish-cream","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Irish Spring","irish-spring","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Jacknife","jacknife","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Janiwalker","janiwalker","3 Observationally represented","A","multi","","","full","","high",""
"Joan","joan","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Johny Quest","johny-quest","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Johny Vodka","johny-vodka","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Juggernaut","juggernaut","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Kill Frenzy","kill-frenzy","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Kiss Of The Scorpion","kiss-of-the-scorpion","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Kiwi","kiwi","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Kyttyrä","kyttyrä","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Lawnmoir","lawnmoir","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Leaning Jowler","leaning-jowler","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Legbreaker","legbreaker","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Legfreezer","legfreezer","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Leviathan","leviathan","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Liquifier","liquifier","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Little Apple","little-apple","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Locomotion","locomotion","3 Observationally represented","A","multi","","","full","","high",""
"Macon Bacon","macon-bacon","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Majello","majello","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Margaritaville","margaritaville","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Massacre","massacre","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Maverick","maverick","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Merlin","merlin","3 Observationally represented","A","multi","","","full","","high",""
"Moby Dick","moby-dick","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Mofly","mofly","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Moirius","moirius","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Motion","motion","3 Observationally represented","A","multi","","","full","","high",""
"Motion Sickness","motion-sickness","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Muerto","muerto","3 Observationally represented","A","footbagmoves","","","full","","high",""
"MXZYPTLK","mxzyptlk","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Nallegam","nallegam","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Nebula","nebula","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Neutron Smasher","neutron-smasher","3 Observationally represented","A","footbagmoves","","","full","","high",""
