"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Torch-r Rack torture rack (Stepping Superfly)","torch-r-rack-torture-rack-stepping-superfly","3 Observationally represented","B","fborg","stepping","","name-only","","",""
"Twisted (Dragon set Swirling Paradox)","twisted-dragon-set-swirling-paradox","3 Observationally represented","B","fborg","whirl-swirl|dragon-rake|paradox","","name-only","","",""
"Voodoo (Paradox Symposium Blur)","voodoo-paradox-symposium-blur","3 Observationally represented","B","fborg","symposium|paradox","","name-only","","",""
"Whirl/swirl","whirl-swirl","3 Observationally represented","B","fborg","whirl-swirl","","name-only","","",""
"Calf Stall w/ leg in ""Whirl"" position","calf-stall-w-leg-in-whirl-position","3 Observationally represented","B","passback","whirl-swirl","","name-only","","",""
"DATW/Double ATW","datw-double-atw","3 Observationally represented","B","passback","","","name-only","","",""
"DDD/Down Double Down","ddd-down-double-down","3 Observationally represented","B","passback","dlo-double-down","","name-only","","",""
"DOD/Double Over Down","dod-double-over-down","3 Observationally represented","B","passback","dlo-double-down","","name-only","","",""
"double-dex Drifter/(midtime) Barraging far Clipper","double-dex-drifter-midtime-barraging-far-clipper","3 Observationally represented","B","passback","","","name-only","","",""
"DSO (Double Switchover)","dso-double-switchover","3 Observationally represented","B","passback","dlo-double-down","","name-only","","",""
"Fairy Legover / Toe ss Eggbeater","fairy-legover-toe-ss-eggbeater","3 Observationally represented","B","passback","fairy","","name-only","","",""
"Flip side (flip)","flip-side-flip","3 Observationally represented","B","passback","","","name-only","","",""
"GYBAS/Grab Your Balls and Squeeze","gybas-grab-your-balls-and-squeeze","3 Observationally represented","B","passback","","","name-only","","",""
"Janiwalker (""johnny walker"")","janiwalker-johnny-walker","3 Observationally represented","B","passback","","","name-only","","",""
"Pixie op Toe / Toe ss Mirage","pixie-op-toe-toe-ss-mirage","3 Observationally represented","B","passback","pixie","","name-only","","",""
"PLO (Pixie Legover) / Toe ss DLO","plo-pixie-legover-toe-ss-dlo","3 Observationally represented","B","passback","pixie|dlo-double-down","","name-only","","",""
"Smear>Fairy ss [Legover/Pickup]","smear-fairy-ss-legover-pickup","3 Observationally represented","B","passback","fairy","","name-only","","",""
"Strong side (strong)","strong-side-strong","3 Observationally represented","B","passback","","","name-only","","",""
"TATW/Triple ATW","tatw-triple-atw","3 Observationally represented","B","passback","","","name-only","","",""
"Arctic Butterfly (Arc Walk)","arctic-butterfly-arc-walk","3 Observationally represented","B","stanford","","","name-only","","",""
