slug,ifpa_readings,fm_technical_name,fm_symbolic_notation_raw,pb_technical_name,alignment_fm,divergence_type_fm,alignment_pb,divergence_type_pb,fm_present,pb_present,ifpa_chain_present,candidate_new_chain_entry,pending_red,curator_action,notes
superfly,,Symposium Barfly,Clip >> (no plant while) Same Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL),Clipper far Symp. Double Down,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
rev-up,,,,(downtime) Twisting near Pickup,,,external-only,ifpa-missing-chain,false,true,false,true,false,,
barraging-osis,,,,"double-dex Torque, (downtime) Barraging far Osis",,,external-only,ifpa-missing-chain,false,true,false,true,true,,
tombstone,,Stepping Drifter (same side),Clip > Op In (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL),Stepping near Drifter,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
fury,,Furious Mirage,Clip > Op In (DEX) > Same In (DEX) >> Op In (DEX)(PDX)(XDEX) > Op Toe (DEL),Barraging far Mirage,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,true,,
merkon,,Spinning Legover,Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Toe (DEL),Spinning Legover,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
ripstein,,Double Swirl,Clip >> Same Back Swirl (DEX) >> Same Back Swirl (DEX) > Same Clip (XBD)(DEL),"double-dex Swirl, Swirling near Swirl",external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
dyno,,,,(downtime) Whipping Osis,,,external-only,ifpa-missing-chain,false,true,false,true,false,,
high-plains-drifter,,Double Drifter,Clip >> Op In (DEX) > Same In (DEX) > Same Clip (XBD)(DEL),double-dex Drifter/(midtime) Barraging far Clipper,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,true,,
reaper,,Far Double Switchover,Clip >> Same Out (DEX) >> Same Out (DEX) > Same Toe (DEL),Clipper far DSO,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
magellan,,Pixie Legover (same side),Toe > Same In (DEX) >> Same Out (DEX) > Same Toe (DEL),Pixie near Legover,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
witchdoctor,,Atomic Symposium Mirage,Toe > Op Out (DEX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL),,external-only,ifpa-missing-chain,,,true,false,false,true,false,,
haze,,Stepping Double Legover,Clip > Op In (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL),,external-only,ifpa-missing-chain,,,true,false,false,true,false,,
bullwhip,,Gyro Double Over Down,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Spinning near Double Down,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
paste,,Pixie Pickup,Toe > Same In (DEX) >> Op In (DEX) > Same Toe (DEL),Pixie far Pickup,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
hatchet,,Diving Whirl,Clip >> Dive (BOD) > Same Front Whirl (DEX) > Op Clip (XBD)(DEL),Clipper Diving near Whirl,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
pigbeater,,Pixie Eggbeater,Toe > Same In (DEX) >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),Pixie far Eggbeater,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
mullet,,Ducking Paradox Symposium Whirl,Clip >> Duck (BOD) >> (no plant while) Same Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),"Clipper Ducking far Symp. Whirl, Symp. Tomahwak",external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
scrambled-eggbeater,,Atomic Pickup,Toe > Op Out (DEX) >> Op In (DEX) > Same Toe (DEL),,external-only,ifpa-missing-chain,,,true,false,false,true,false,,
mind-bender,,Ducking Paradox Blender,Clip >> Duck (BOD) >> Same Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Clipper Ducking far Blender,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
legeater,,Quantum Pickup,Toe > Op In (DEX) >> Op In (DEX) > Same Toe (DEL),(downtime) Miraging Pickup,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
spinal-tap,,Tapping Torque,Toe > Op Out (DEX) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),,external-only,ifpa-missing-chain,,,true,false,false,true,false,,
