"name","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Tapping Guay","tapping-guay","stanford","stanford","TAPPING GUAY","3","tapping(+1) + guay(2) = 3","tapping > guay","high","stable","","(unclassified)","T4","Mechanically derived: tapping(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Tapping Legover","tapping-legover","passback","passback","TAPPING LEGOVER","3","tapping(+1) + legover(2) = 3","tapping > legover","high","stable","","(unclassified)","T1","Mechanically derived: tapping(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Tapping Reverse Guay","tapping-reverse-guay","stanford","stanford","TAPPING REVERSE GUAY","3","tapping(+1) + guay(2) = 3","tapping > guay","high","stable","","(unclassified)","T4","Mechanically derived: tapping(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Illusion","barraging-illusion","passback","passback","BARRAGING ILLUSION","4","barraging(+2) + illusion(2) = 4","barraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + illusion(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Legover","barraging-legover","passback","passback","BARRAGING LEGOVER","4","barraging(+2) + legover(2) = 4","barraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Mirage","barraging-mirage","passback","passback","BARRAGING MIRAGE","4","barraging(+2) + mirage(2) = 4","barraging > mirage","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Legover","barraging-legover","footbagmoves","footbagmoves","BARRAGING LEGOVER","4","barraging(+2) + legover(2) = 4","barraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Pickup","barraging-pickup","stanford","stanford","BARRAGING PICKUP","4","barraging(+2) + pickup(2) = 4","barraging > pickup","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + pickup(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Butterfly","blazing-butterfly","passback","passback","BLAZING BUTTERFLY","4","blazing(+1) + butterfly(3) = 4","blazing > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Blazing Drifter","blazing-drifter","stanford","stanford","BLAZING DRIFTER","4","blazing(+1) + drifter(3) = 4","blazing > drifter","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Butterfly","diving-butterfly","footbagmoves","footbagmoves","DIVING BUTTERFLY","4","diving(+1) + butterfly(3) = 4","diving > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Diving Drifter","diving-drifter","stanford","stanford","DIVING DRIFTER","4","diving(+1) + drifter(3) = 4","diving > drifter","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Osis","diving-osis","multi","footbagmoves,passback","DIVING OSIS","4","diving(+1) + osis(3) = 4","diving > osis","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + osis(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"PS Illusion","paradox-symposium-illusion","footbagmoves","footbagmoves","PARADOX SYMPOSIUM ILLUSION","4","paradox(+1) + symposium(+1) + illusion(2) = 4","paradox|symposium > illusion","high","stable","","(unclassified)","T4","Mechanically derived: paradox(+1) + symposium(+1) + illusion(2) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Surging far Mirage","surging-mirage","passback","passback","SURGING MIRAGE","4","spinning(+1) + stepping(+1) + mirage(2) = 4","spinning|stepping > mirage","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Legover","surging-legover","footbagmoves","footbagmoves","SURGING LEGOVER","4","spinning(+1) + stepping(+1) + legover(2) = 4","spinning|stepping > legover","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Butterfly","barraging-butterfly","footbagmoves","footbagmoves","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Butterfly (same side)","barraging-butterfly","footbagmoves","footbagmoves","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Butterfly","barraging-butterfly","passback","passback","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Eggbeater","barraging-eggbeater","passback","passback","BARRAGING EGGBEATER","5","barraging(+2) + eggbeater(3) = 5","barraging > eggbeater","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + eggbeater(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging near Butterfly","barraging-butterfly","passback","passback","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging ss Osis","surging-osis","footbagmoves","footbagmoves","SURGING OSIS","5","spinning(+1) + stepping(+1) + osis(3) = 5","spinning|stepping > osis","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + osis(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging Illusion","terraging-illusion","stanford","stanford","TERRAGING ILLUSION","5","terraging(+3) + illusion(2) = 5","terraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + illusion(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging Legover","terraging-legover","multi","footbagmoves|passback","TERRAGING LEGOVER","5","terraging(+3) + legover(2) = 5","terraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + legover(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Illusion","terraging-illusion","stanford","stanford","TERRAGING ILLUSION","5","terraging(+3) + illusion(2) = 5","terraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + illusion(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Legover","terraging-legover","stanford","stanford","TERRAGING LEGOVER","5","terraging(+3) + legover(2) = 5","terraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + legover(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Mirage","terraging-mirage","stanford","stanford","TERRAGING MIRAGE","5","terraging(+3) + mirage(2) = 5","terraging > mirage","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + mirage(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Barfly","barraging-barfly","footbagmoves","footbagmoves","BARRAGING BARFLY","6","barraging(+2) + barfly(4) = 6","barraging > barfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + barfly(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pdx. Fusion","paradox-fusion","passback","passback","PARADOX. FUSION","6","paradox(+1) + fusion(5) = 6","paradox > fusion","high","stable","","(unclassified)","T4","Mechanically derived: paradox(+1) + fusion(5) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Guay","atomic-guay","stanford","stanford","ATOMIC GUAY","3","atomic(+1) + guay(2) = 3","atomic > guay","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Pickup (same side)","atomic-pickup","multi","footbagmoves,passback","ATOMIC PICKUP","3","atomic(+1) + pickup(2) = 3","atomic > pickup","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + pickup(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Atomic Reverse Guay","atomic-reverse-guay","stanford","stanford","ATOMIC REVERSE GUAY","3","atomic(+1) + guay(2) = 3","atomic > guay","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Eggbeater","atomic-eggbeater","footbagmoves","footbagmoves","ATOMIC EGGBEATER","4","atomic(+1) + eggbeater(3) = 4","atomic > eggbeater","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + eggbeater(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic far Eggbeater","atomic-eggbeater","passback","passback","ATOMIC EGGBEATER","4","atomic(+1) + eggbeater(3) = 4","atomic > eggbeater","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + eggbeater(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Blender","atomic-blender","stanford","stanford","ATOMIC BLENDER","5","atomic(+1) + blender(4) = 5","atomic > blender","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + blender(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic far Blender","atomic-blender","passback","passback","ATOMIC BLENDER","5","atomic(+1) + blender(4) = 5","atomic > blender","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + blender(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp. Atomic far Butterfly","symposium-atomic-butterfly","passback","passback","SYMPOSIUM. ATOMIC BUTTERFLY","5","atomic(+1) + symposium(+1) + butterfly(3) = 5","atomic|symposium > butterfly","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + symposium(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Ducking Blender","atomic-ducking-blender","multi","footbagmoves|passback","ATOMIC DUCKING BLENDER","6","atomic(+1) + ducking(+1) + blender(4) = 6","atomic|ducking > blender","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + ducking(+1) + blender(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Ducking Reverse Guay","ducking-reverse-guay","stanford","stanford","DUCKING REVERSE GUAY","3","ducking(+1) + guay(2) = 3","ducking > guay","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Toe Ducking Legover","toe-ducking-legover","passback","passback","TOE DUCKING LEGOVER","3","ducking(+1) + legover(2) = 3","ducking > legover","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Clipper Ducking far Drifter","clipper-ducking-drifter","passback","passback","CLIPPER DUCKING DRIFTER","4","ducking(+1) + drifter(3) = 4","ducking > drifter","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Clipper Ducking far Whirl","clipper-ducking-whirl","passback","passback","CLIPPER DUCKING WHIRL","4","ducking(+1) + whirl(3) = 4","ducking > whirl","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Clipper Ducking far Blender","clipper-ducking-blender","passback","passback","CLIPPER DUCKING BLENDER","5","ducking(+1) + blender(4) = 5","ducking > blender","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + blender(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Clipper Ducking far Symp. Whirl","clipper-ducking-symposium-whirl","passback","passback","CLIPPER DUCKING SYMPOSIUM. WHIRL","5","ducking(+1) + symposium(+1) + whirl(3) = 5","ducking|symposium > whirl","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Ducking Far Symposium Reverse Whirl","ducking-symposium-reverse-whirl","stanford","stanford","DUCKING SYMPOSIUM REVERSE WHIRL","5","ducking(+1) + symposium(+1) + whirl(3) = 5","ducking|symposium > whirl","high","stable","","ducking","T2","Mechanically derived: ducking(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Ducking far Drifter","spinning-ducking-drifter","passback","passback","SPINNING DUCKING DRIFTER","5","spinning(+1) + ducking(+1) + drifter(3) = 5","spinning|ducking > drifter","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + ducking(+1) + drifter(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Ducking far Symp. Whirl","spinning-ducking-symposium-whirl","passback","passback","SPINNING DUCKING SYMPOSIUM. WHIRL","6","spinning(+1) + ducking(+1) + symposium(+1) + whirl(3) = 6","spinning|ducking|symposium > whirl","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + ducking(+1) + symposium(+1) + whirl(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Spinning Ducking Superfly","spinning-ducking-superfly","passback","passback","SPINNING DUCKING SUPERFLY","7","spinning(+1) + ducking(+1) + superfly(5) = 7","spinning|ducking > superfly","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + ducking(+1) + superfly(5) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Ducking far Blender","surging-ducking-blender","passback","passback","SURGING DUCKING BLENDER","7","spinning(+1) + stepping(+1) + ducking(+1) + blender(4) = 7","spinning|stepping|ducking > blender","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + stepping(+1) + ducking(+1) + blender(4) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Ducking Torque","surging-ducking-torque","stanford","stanford","SURGING DUCKING TORQUE","7","spinning(+1) + stepping(+1) + ducking(+1) + torque(4) = 7","spinning|stepping|ducking > torque","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + stepping(+1) + ducking(+1) + torque(4) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Ducking Paradox Symposium Whirling Rake","surging-ducking-paradox-symposium-whirling-rake","footbagmoves","footbagmoves","SURGING DUCKING PARADOX SYMPOSIUM WHIRLING RAKE","8","spinning(+1) + whirling(+1) + stepping(+1) + ducking(+1) + paradox(+1) + symposium(+1) + rake(2) = 8","spinning|whirling|stepping|ducking|paradox|symposium > rake","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + whirling(+1) + stepping(+1) + ducking(+1) + paradox(+1) + symposium(+1) + rake(2) = 8; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves","footbagmoves","SURGING DUCKING PARADOX TORQUE","8","spinning(+1) + stepping(+1) + ducking(+1) + paradox(+1) + torque(4) = 8","spinning|stepping|ducking|paradox > torque","high","stable","","ducking","T2","Mechanically derived: spinning(+1) + stepping(+1) + ducking(+1) + paradox(+1) + torque(4) = 8; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy far Illusion","fairy-illusion","passback","passback","FAIRY ILLUSION","3","fairy(+1) + illusion(2) = 3","fairy > illusion","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Guay","fairy-guay","stanford","stanford","FAIRY GUAY","3","fairy(+1) + guay(2) = 3","fairy > guay","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Illusion (same side)","fairy-illusion","footbagmoves","footbagmoves","FAIRY ILLUSION","3","fairy(+1) + illusion(2) = 3","fairy > illusion","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Reverse Guay","fairy-reverse-guay","stanford","stanford","FAIRY REVERSE GUAY","3","fairy(+1) + guay(2) = 3","fairy > guay","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Guay","fairy-guay","stanford","stanford","FAIRY GUAY","3","fairy(+1) + guay(2) = 3","fairy > guay","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Illusion","fairy-illusion","stanford","stanford","FAIRY ILLUSION","3","fairy(+1) + illusion(2) = 3","fairy > illusion","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Reverse Guay","fairy-reverse-guay","stanford","stanford","FAIRY REVERSE GUAY","3","fairy(+1) + guay(2) = 3","fairy > guay","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Butterfly","fairy-butterfly","fborg","fborg","FAIRY BUTTERFLY","4","fairy(+1) + butterfly(3) = 4","fairy > butterfly","high","stable","","fairy","T3","Mechanically derived: fairy(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Drifter","fairy-drifter","fborg","fborg","FAIRY DRIFTER","4","fairy(+1) + drifter(3) = 4","fairy > drifter","high","stable","","fairy","T3","Mechanically derived: fairy(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Ducking Mirage","fairy-ducking-mirage","footbagmoves","footbagmoves","FAIRY DUCKING MIRAGE","4","fairy(+1) + ducking(+1) + mirage(2) = 4","fairy|ducking > mirage","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Ducking Mirage (Guillotine) (Cower)","fairy-ducking-mirage","stanford","stanford","FAIRY DUCKING MIRAGE","4","fairy(+1) + ducking(+1) + mirage(2) = 4","fairy|ducking > mirage","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy far Butterfly","fairy-butterfly","passback","passback","FAIRY BUTTERFLY","4","fairy(+1) + butterfly(3) = 4","fairy > butterfly","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Merkon","fairy-merkon","fborg","fborg","FAIRY MERKON","4","fairy(+1) + merkon(3) = 4","fairy > merkon","high","stable","","fairy","T3","Mechanically derived: fairy(+1) + merkon(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Reverse Swirl","fairy-reverse-swirl","stanford","stanford","FAIRY REVERSE SWIRL","4","fairy(+1) + swirl(3) = 4","fairy > swirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Reverse Whirl","fairy-reverse-whirl","stanford","stanford","FAIRY REVERSE WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Same Side Whirl","fairy-whirl","fborg","fborg","FAIRY WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T3","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy ss Butterfly","fairy-butterfly","footbagmoves","footbagmoves","FAIRY BUTTERFLY","4","fairy(+1) + butterfly(3) = 4","fairy > butterfly","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Drifter","fairy-drifter","footbagmoves","footbagmoves","FAIRY DRIFTER","4","fairy(+1) + drifter(3) = 4","fairy > drifter","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Reverse Swirl","fairy-reverse-swirl","stanford","stanford","FAIRY REVERSE SWIRL","4","fairy(+1) + swirl(3) = 4","fairy > swirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + swirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Reverse Whirl","fairy-reverse-whirl","stanford","stanford","FAIRY REVERSE WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Whirl","fairy-whirl","stanford","stanford","FAIRY WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Whirl","fairy-whirl","multi","fborg,footbagmoves","FAIRY WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T3","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Whirl (same side)","fairy-whirl","footbagmoves","footbagmoves","FAIRY WHIRL","4","fairy(+1) + whirl(3) = 4","fairy > whirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Gyro Drifter","fairy-gyro-drifter","stanford","stanford","FAIRY GYRO DRIFTER","5","fairy(+1) + gyro(+1) + drifter(3) = 5","fairy|gyro > drifter","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + gyro(+1) + drifter(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy near Swirling near Swirl","fairy-swirling-swirl","passback","passback","FAIRY SWIRLING SWIRL","5","fairy(+1) + swirling(+1) + swirl(3) = 5","fairy|swirling > swirl","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + swirling(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Ripstein","fairy-ripstein","passback","passback","FAIRY RIPSTEIN","5","fairy(+1) + ripstein(4) = 5","fairy > ripstein","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + ripstein(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy ss Torque","fairy-torque","footbagmoves","footbagmoves","FAIRY TORQUE","5","fairy(+1) + torque(4) = 5","fairy > torque","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Torque (Forque) (Ferocious)","fairy-torque","stanford","stanford","FAIRY TORQUE","5","fairy(+1) + torque(4) = 5","fairy > torque","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Torque (same side)","fairy-torque","footbagmoves","footbagmoves","FAIRY TORQUE","5","fairy(+1) + torque(4) = 5","fairy > torque","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + torque(4) = 5; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Fairy Gyro Torque","fairy-gyro-torque","passback","passback","FAIRY GYRO TORQUE","6","fairy(+1) + gyro(+1) + torque(4) = 6","fairy|gyro > torque","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + gyro(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Fairy Spinning Ducking Osis","fairy-spinning-ducking-osis","stanford","stanford","FAIRY SPINNING DUCKING OSIS","6","fairy(+1) + spinning(+1) + ducking(+1) + osis(3) = 6","fairy|spinning|ducking > osis","high","stable","","fairy","T2","Mechanically derived: fairy(+1) + spinning(+1) + ducking(+1) + osis(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Guay","pixie-guay","stanford","stanford","PIXIE GUAY","3","pixie(+1) + guay(2) = 3","pixie > guay","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Reverse Guay","pixie-reverse-guay","stanford","stanford","PIXIE REVERSE GUAY","3","pixie(+1) + guay(2) = 3","pixie > guay","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Same Side Illusion","pixie-illusion","fborg","fborg","PIXIE ILLUSION","3","pixie(+1) + illusion(2) = 3","pixie > illusion","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Pixie ss Guay","pixie-guay","stanford","stanford","PIXIE GUAY","3","pixie(+1) + guay(2) = 3","pixie > guay","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Illusion","pixie-illusion","stanford","stanford","PIXIE ILLUSION","3","pixie(+1) + illusion(2) = 3","pixie > illusion","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Mirage","pixie-mirage","passback","passback","PIXIE MIRAGE","3","pixie(+1) + mirage(2) = 3","pixie > mirage","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie ss Reverse Guay","pixie-reverse-guay","stanford","stanford","PIXIE REVERSE GUAY","3","pixie(+1) + guay(2) = 3","pixie > guay","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie Ducking far Mirage","pixie-ducking-mirage","passback","passback","PIXIE DUCKING MIRAGE","4","pixie(+1) + ducking(+1) + mirage(2) = 4","pixie|ducking > mirage","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + ducking(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie far Butterfly","pixie-butterfly","passback","passback","PIXIE BUTTERFLY","4","pixie(+1) + butterfly(3) = 4","pixie > butterfly","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie far Drifter","pixie-drifter","passback","passback","PIXIE DRIFTER","4","pixie(+1) + drifter(3) = 4","pixie > drifter","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pixie near Butterfly","pixie-butterfly","passback","passback","PIXIE BUTTERFLY","4","pixie(+1) + butterfly(3) = 4","pixie > butterfly","high","stable","","pixie","T2","Mechanically derived: pixie(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
