"name","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Stepping Ducking far Symp. Eggbeater","stepping-ducking-symposium-eggbeater","passback","passback","STEPPING DUCKING SYMPOSIUM. EGGBEATER","6","stepping(+1) + ducking(+1) + symposium(+1) + eggbeater(3) = 6","stepping|ducking|symposium > eggbeater","high","stable","","stepping","T2","Mechanically derived: stepping(+1) + ducking(+1) + symposium(+1) + eggbeater(3) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Stepping Pdx Torque","stepping-paradox-torque","footbagmoves","footbagmoves","STEPPING PARADOX TORQUE","6","stepping(+1) + paradox(+1) + torque(4) = 6","stepping|paradox > torque","high","stable","","stepping","T2","Mechanically derived: stepping(+1) + paradox(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Symp. Illusion","symposium-illusion","passback","passback","SYMPOSIUM. ILLUSION","3","symposium(+1) + illusion(2) = 3","symposium > illusion","high","stable","","symposium/paradox","T4","Mechanically derived: symposium(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symposium Bubba","symposium-bubba","stanford","stanford","SYMPOSIUM BUBBA","3","symposium(+1) + bubba(2) = 3","symposium > bubba","high","stable","","symposium/paradox","T2","Mechanically derived: symposium(+1) + bubba(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Symposium Mirage","blazing-symposium-mirage","stanford","stanford","BLAZING SYMPOSIUM MIRAGE","4","blazing(+1) + symposium(+1) + mirage(2) = 4","blazing|symposium > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: blazing(+1) + symposium(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Symposium Mirage","diving-symposium-mirage","stanford","stanford","DIVING SYMPOSIUM MIRAGE","4","diving(+1) + symposium(+1) + mirage(2) = 4","diving|symposium > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: diving(+1) + symposium(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Miraging Symp. Illusion","miraging-symposium-illusion","passback","passback","MIRAGING SYMPOSIUM. ILLUSION","4","miraging(+1) + symposium(+1) + illusion(2) = 4","miraging|symposium > illusion","high","stable","","symposium/paradox","T2","Mechanically derived: miraging(+1) + symposium(+1) + illusion(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Reverse Swirling Symposium Mirage","reverse-swirling-symposium-mirage","stanford","stanford","REVERSE SWIRLING SYMPOSIUM MIRAGE","4","swirling(+1) + symposium(+1) + mirage(2) = 4","swirling|symposium > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: swirling(+1) + symposium(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling Paradox Mirage","swirling-paradox-mirage","stanford","stanford","SWIRLING PARADOX MIRAGE","4","swirling(+1) + paradox(+1) + mirage(2) = 4","swirling|paradox > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: swirling(+1) + paradox(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp. Miraging far Mirage","symposium-miraging-mirage","passback","passback","SYMPOSIUM. MIRAGING MIRAGE","4","symposium(+1) + miraging(+1) + mirage(2) = 4","symposium|miraging > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: symposium(+1) + miraging(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp. Whirling far Mirage","symposium-whirling-mirage","passback","passback","SYMPOSIUM. WHIRLING MIRAGE","4","whirling(+1) + symposium(+1) + mirage(2) = 4","whirling|symposium > mirage","high","stable","","symposium/paradox","T2","Mechanically derived: whirling(+1) + symposium(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symposium Reverse Swirling Pickup","symposium-reverse-swirling-pickup","stanford","stanford","SYMPOSIUM REVERSE SWIRLING PICKUP","4","swirling(+1) + symposium(+1) + pickup(2) = 4","swirling|symposium > pickup","high","stable","","symposium/paradox","T2","Mechanically derived: swirling(+1) + symposium(+1) + pickup(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Paradox Whirl","blazing-paradox-whirl","footbagmoves","footbagmoves","BLAZING PARADOX WHIRL","5","blazing(+1) + paradox(+1) + whirl(3) = 5","blazing|paradox > whirl","high","stable","","symposium/paradox","T2","Mechanically derived: blazing(+1) + paradox(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Miraging far Symp. Butterfly","miraging-symposium-butterfly","passback","passback","MIRAGING SYMPOSIUM. BUTTERFLY","5","miraging(+1) + symposium(+1) + butterfly(3) = 5","miraging|symposium > butterfly","high","stable","","symposium/paradox","T2","Mechanically derived: miraging(+1) + symposium(+1) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Miraging far Symp. Whirl","miraging-symposium-whirl","passback","passback","MIRAGING SYMPOSIUM. WHIRL","5","miraging(+1) + symposium(+1) + whirl(3) = 5","miraging|symposium > whirl","high","stable","","symposium/paradox","T2","Mechanically derived: miraging(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Miraging Symp. Eggbeater","miraging-symposium-eggbeater","passback","passback","MIRAGING SYMPOSIUM. EGGBEATER","5","miraging(+1) + symposium(+1) + eggbeater(3) = 5","miraging|symposium > eggbeater","high","stable","","symposium/paradox","T2","Mechanically derived: miraging(+1) + symposium(+1) + eggbeater(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","footbagmoves","PARADOX SYMPOSIUM WHIRLING RAKE","5","whirling(+1) + paradox(+1) + symposium(+1) + rake(2) = 5","whirling|paradox|symposium > rake","high","stable","","symposium/paradox","T2","Mechanically derived: whirling(+1) + paradox(+1) + symposium(+1) + rake(2) = 5; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Swirling Symposium Whirl","swirling-symposium-whirl","stanford","stanford","SWIRLING SYMPOSIUM WHIRL","5","swirling(+1) + symposium(+1) + whirl(3) = 5","swirling|symposium > whirl","high","stable","","symposium/paradox","T2","Mechanically derived: swirling(+1) + symposium(+1) + whirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp. Twirl","symposium-twirl","passback","passback","SYMPOSIUM. TWIRL","5","symposium(+1) + twirl(4) = 5","symposium > twirl","high","stable","","symposium/paradox","T2","Mechanically derived: symposium(+1) + twirl(4) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symposium Blur","symposium-blur","fborg","fborg","SYMPOSIUM BLUR","5","symposium(+1) + blur(4) = 5","symposium > blur","high","stable","","symposium/paradox","T3","Mechanically derived: symposium(+1) + blur(4) = 5; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Symposium Reverse Whirling Swirl","symposium-reverse-whirling-swirl","footbagmoves","footbagmoves","SYMPOSIUM REVERSE WHIRLING SWIRL","5","whirling(+1) + symposium(+1) + swirl(3) = 5","whirling|symposium > swirl","high","stable","","symposium/paradox","T2","Mechanically derived: whirling(+1) + symposium(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symposium Whirling Swirl","symposium-whirling-swirl","fborg","fborg","SYMPOSIUM WHIRLING SWIRL","5","whirling(+1) + symposium(+1) + swirl(3) = 5","whirling|symposium > swirl","high","stable","","symposium/paradox","T1","Mechanically derived: whirling(+1) + symposium(+1) + swirl(3) = 5; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Reverse Swirling Paradox Torque","reverse-swirling-paradox-torque","stanford","stanford","REVERSE SWIRLING PARADOX TORQUE","6","swirling(+1) + paradox(+1) + torque(4) = 6","swirling|paradox > torque","high","stable","","symposium/paradox","T2","Mechanically derived: swirling(+1) + paradox(+1) + torque(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symp. Mobius","symposium-mobius","passback","passback","SYMPOSIUM. MOBIUS","6","symposium(+1) + mobius(5) = 6","symposium > mobius","high","stable","","symposium/paradox","T2","Mechanically derived: symposium(+1) + mobius(5) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Symposium Tomahawk","symposium-tomahawk","fborg","fborg","SYMPOSIUM TOMAHAWK","6","symposium(+1) + tomahawk(5) = 6","symposium > tomahawk","high","stable","","symposium/paradox","T3","Mechanically derived: symposium(+1) + tomahawk(5) = 6; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Surging Paradox Blender","surging-paradox-blender","footbagmoves","footbagmoves","SURGING PARADOX BLENDER","7","spinning(+1) + stepping(+1) + paradox(+1) + blender(4) = 7","spinning|stepping|paradox > blender","high","stable","","symposium/paradox","T2","Mechanically derived: spinning(+1) + stepping(+1) + paradox(+1) + blender(4) = 7; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Reverse Swirling Pickup","reverse-swirling-pickup","footbagmoves","footbagmoves","REVERSE SWIRLING PICKUP","3","swirling(+1) + pickup(2) = 3","swirling > pickup","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + pickup(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Swirling ss Mirage","swirling-mirage","stanford","stanford","SWIRLING MIRAGE","3","swirling(+1) + mirage(2) = 3","swirling > mirage","high","stable","","whirl/osis/other","T2","Mechanically derived: swirling(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling far Mirage","whirling-mirage","passback","passback","WHIRLING MIRAGE","3","whirling(+1) + mirage(2) = 3","whirling > mirage","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling ss Mirage","whirling-mirage","stanford","stanford","WHIRLING MIRAGE","3","whirling(+1) + mirage(2) = 3","whirling > mirage","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Whirling ss Pickup","whirling-pickup","stanford","stanford","WHIRLING PICKUP","3","whirling(+1) + pickup(2) = 3","whirling > pickup","high","stable","","whirl/osis/other","T2","Mechanically derived: whirling(+1) + pickup(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Clipper Diving near Whirl","clipper-diving-whirl","passback","passback","CLIPPER DIVING WHIRL","4","diving(+1) + whirl(3) = 4","diving > whirl","high","stable","","whirl/osis/other","T2","Mechanically derived: diving(+1) + whirl(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
