"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"fairy_pickup","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"fairy_reverse_swirl","back-spin-dex","base_trick=swirl","high","base_trick mapping"
"fairy_reverse_swirl","swirl-rotational-topology","base_trick=swirl","high","topology heuristic"
"fairy_same_side_mirage","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"fairy_same_side_mirage","mirage-topology","base_trick=mirage","high","topology heuristic"
"fairy_same_side_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"fairy_same_side_whirl","front-spin-dex","base_trick=whirl","high","base_trick mapping"
"fairy_same_side_whirl","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"fairy_spinning_blender","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_spinning_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"fairy_spinning_butterfly","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_spinning_double_over_down","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_spinning_illusion","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_spinning_mirage","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_spinning_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"fairy_spinning_osis","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"fairy_swirl","back-spin-dex","base_trick=swirl","high","base_trick mapping"
"fairy_swirl","swirl-rotational-topology","base_trick=swirl","high","topology heuristic"
"fairy_symposium_eggbeater","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
