"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"irish_cream","tapping-family","modifier_link=tapping","high","freestyle_trick_modifier_links"
"irish_spring","drifter-miraging-clipper-topology","base_trick=drifter","high","topology heuristic"
"irish_spring","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"irish_spring","tapping-family","modifier_link=tapping","high","freestyle_trick_modifier_links"
"knee_clipper","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"knee_stall","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"legeater","pickup-topology","base_trick=pickup","high","topology heuristic"
"legeater","quantum-family","modifier_link=quantum","high","freestyle_trick_modifier_links"
"legeater","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"legover","leggy-pass","base_trick=legover","high","base_trick mapping"
"legover","legover-topology","base_trick=legover","high","topology heuristic"
"legover_kick","leggy-pass","base_trick=legover","high","base_trick mapping"
"legover_kick","legover-topology","base_trick=legover","high","topology heuristic"
"legover_kick","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"leviathon","barfly-double-loop-topology","base_trick=barfly","high","topology heuristic"
"leviathon","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"leviathon","stepping-family","modifier_link=stepping","high","freestyle_trick_modifier_links"
"liquifier","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"locomotion","stepping-family","modifier_link=stepping","high","freestyle_trick_modifier_links"
"lotus","drifter-miraging-clipper-topology","base_trick=drifter","high","topology heuristic"
"magellan","leggy-pass","base_trick=legover","high","base_trick mapping"
"magellan","legover-topology","base_trick=legover","high","topology heuristic"
"magellan","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"mantis","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"margaritaville","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"margaritaville","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"margaritaville","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"margaritaville","stepping-family","modifier_link=stepping","high","freestyle_trick_modifier_links"
"matador","butterfly-wing-topology","base_trick=butterfly","high","topology heuristic"
"matador","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"matador","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"matador","wing-motion-dex","base_trick=butterfly","high","base_trick mapping"
"merkon","leggy-pass","base_trick=legover","high","base_trick mapping"
"merkon","legover-topology","base_trick=legover","high","topology heuristic"
"merkon","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"mind_bender","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"mind_bender","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"mind_bender","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"mirage","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"mirage","mirage-topology","base_trick=mirage","high","topology heuristic"
"mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"miraging_dragon","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"miraging_dragon","mirage-topology","base_trick=mirage","high","topology heuristic"
"miraging_eclipse","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"miraging_kick","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"miraging_pickup","pickup-topology","base_trick=pickup","high","topology heuristic"
"miraging_pickup","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"miraging_symposium_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"miraging_symposium_double_over_down","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"miraging_symposium_double_over_down","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"miraging_symposium_eggbeater","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"miraging_symposium_eggbeater","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"miraging_symposium_mirage","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"miraging_symposium_mirage","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"miraging_symposium_mirage","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"miraging_symposium_paradon","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"miraging_symposium_paradon","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"mobius","gyro-family","modifier_link=gyro","high","freestyle_trick_modifier_links"
"mobius","torque-rotational-topology","base_trick=torque","high","topology heuristic"
"mofly","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"mofly","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"montage","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"montage","front-spin-dex","base_trick=whirl","high","base_trick mapping"
"montage","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"montage","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"montage","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"montage","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"montage","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"montage_swirl","back-spin-dex","base_trick=swirl","high","base_trick mapping"
"montage_swirl","swirl-rotational-topology","base_trick=swirl","high","topology heuristic"
"motion_sickness","spinning-family","modifier_link=spinning","high","freestyle_trick_modifier_links"
"mullet","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"mullet","front-spin-dex","base_trick=whirl","high","base_trick mapping"
"mullet","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"mullet","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"mullet","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"mullet","whirl-rotational-topology","base_trick=whirl","high","topology heuristic"
"neck_stall","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"nemesis","barfly-double-loop-topology","base_trick=barfly","high","topology heuristic"
"nemesis","furious-family","modifier_link=furious","high","freestyle_trick_modifier_links"
"nemesis","stated-ADD-without-stated-structure","CANONICALIZATION_POLICY §3.2","high","execution-pattern rule"
"nemesis_swirl","back-spin-dex","base_trick=swirl","high","base_trick mapping"
"nemesis_swirl","swirl-rotational-topology","base_trick=swirl","high","topology heuristic"
"nova","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"nova","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"nuclear_butterfly","butterfly-wing-topology","base_trick=butterfly","high","topology heuristic"
"nuclear_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"nuclear_butterfly","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_butterfly","wing-motion-dex","base_trick=butterfly","high","base_trick mapping"
"nuclear_double_leg_over","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_drifter","drifter-miraging-clipper-topology","base_trick=drifter","high","topology heuristic"
"nuclear_drifter","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_dyno","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_guay","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_illusion","hippy-out-dex","base_trick=illusion","high","base_trick mapping"
"nuclear_illusion","illusion-topology","base_trick=illusion","high","topology heuristic"
"nuclear_illusion","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_legover","leggy-pass","base_trick=legover","high","base_trick mapping"
"nuclear_legover","legover-topology","base_trick=legover","high","topology heuristic"
"nuclear_legover","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_mirage_same_side","toe-ending","compound terminates in toe_stall via canonical-name pattern","medium","canonical-name heuristic"
"nuclear_pickup","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_pickup","pickup-topology","base_trick=pickup","high","topology heuristic"
"nuclear_pickup","under-foot-scoop","base_trick=pickup","high","base_trick mapping"
"nuclear_rev_guay","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_rev_whirl","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_torque","nuclear-family","modifier_link=nuclear","high","freestyle_trick_modifier_links"
"nuclear_torque","torque-rotational-topology","base_trick=torque","high","topology heuristic"
"nuclear_whirl","front-spin-dex","base_trick=whirl","high","base_trick mapping"
