"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Blender (same side)","","Whirling Osis","4","Clip >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL)","clip","op front whirl","","","back-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ op front whirl(DEX) › [back] spin(BOD) › same clip(XBD,DEL)","4","0","clip-spin-whirl","spin-family","","high","ok","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Bling Blang","","Whirling Reverse Whirl","4","Clip > Op Front Whirl (DEX) >> Same Back Swirl (DEX) > Op Clip (XBD)(DEL)","clip","op front whirl","","","","same back swirl","clip","","XBD","DEX|DEX|XBD|DEL","clip › op front whirl(DEX) ⟫ same back swirl(DEX) › op clip(XBD,DEL)","4","0","clip-front-whirl-clip","whirl-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Blister","","Whirling Gyro Mirage","4","Clip > Op Front Whirl (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL)","clip","op front whirl","","","back-spin","op in","toe","","","DEX|BOD|DEX|DEL","clip › op front whirl(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op toe(DEL)","4","0","clip-spin-whirl","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Blizzard","","Blurry Illusion","4","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL)","clip","op in","","","","op out [PDX]","toe","","","DEX|DEX|PDX|DEL","clip › op in(DEX) ⟫ op out(DEX,PDX) › op toe(DEL)","4","0","clip-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Blur","","Blurry Mirage","4","Clip > Op In (DEX) >> Op In (DEX)(PDX) > Op Toe (DEL)","clip","op in","","","","op in [PDX]","toe","","","DEX|DEX|PDX|DEL","clip › op in(DEX) ⟫ op in(DEX,PDX) › op toe(DEL)","4","0","clip-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Butterfly Swirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Butterfly Swirl (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Buttersole","","Butterfly Flapper","4","Set >> Op Out (DEX) > Op Flapper (XBD)(UNS)(DEL)","set","op out","","","","","flapper","UNS","XBD","DEX|XBD|UNS|DEL","set ⟫ op out(DEX) › op flapper(XBD,UNS,DEL)","3","1","unusual-surface-set-to-flapper","unusual-surface-family","","high","ok","add-delta:+1"
"footbagmoves","footbagmoves-3-4adds.txt","Cascade","","Ducking Double Legover","4","Toe >> Duck (BOD) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","","","","duck","op in|op out","toe","","","BOD|DEX|DEX|DEL","toe ⟫ duck(BOD) ⟫ op in(DEX) › op out(DEX) › same toe(DEL)","4","0","toe-duck-toe","duck-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Casket","","Fairy ss Drifter","4","Toe > Same Out (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL)","toe","same out","","","","same in","clip","","XBD","DEX|DEX|XBD|DEL","toe › same out(DEX) ⟫ same in(DEX) › same clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Catacomb","","Pixie ss Drifter","4","Toe > Same In (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL)","toe","same in","","","","same in","clip","","XBD","DEX|DEX|XBD|DEL","toe › same in(DEX) ⟫ same in(DEX) › same clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Dada Curve","","Miraging Symple Butterfly","4","Set >> Op In (DEX) > (no plant while) Op Out (DEX) > Op Clip (XBD)(DEL)","set","op in","","no plant while","","op out","clip","","XBD","DEX|DEX|XBD|DEL","set ⟫ op in(DEX) › [no plant while] op out(DEX) › op clip(XBD,DEL)","4","0","set-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Dellusion","","Double Illusion","4","Toe >> Op Out (DEX) > Same Out (DEX)(XDEX) > Op Toe (DEL)","toe","op out","","","","same out [XDEX]","toe","","","DEX|DEX|XDEX|DEL","toe ⟫ op out(DEX) › same out(DEX,XDEX) › op toe(DEL)","4","0","toe-xdex-toe","xdex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Dimwalk","","Pixie Butterfly","4","Toe > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","toe","same in","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","toe › same in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","toe-walk-clip","butterfly-walk-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Diving Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Diving Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Double Over Down","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Double Spinning Clipper","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
