"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3adds.txt","Spinning Pickup","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Spitfire","","Swirl Dragon","3","Clip >> (same) Back Swirl (DEX) >> Same Dragon (XBD)(DEL)","clip","back swirl","","","","","Same Dragon (XBD)(DEL)","","XBD","DEX|XBD|DEL","clip ⟫ back swirl(DEX) ⟫ same(XBD,DEL)","3","0","clip-back-swirl-?","swirl-family","(same)|dragon","low","needs_review",""
"footbagmoves","footbagmoves-3adds.txt","Stepping Clipper (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Stepping far Clipper","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Stepping Legover (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Stepping Pickup","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Stepping Pickup (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Swirl","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symp Illusion","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symp Illusion (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Symp Mirage","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symp Mirage","","","3","SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","set","op in [BOD]","","no plant while","","","toe","","","BOD|DEX|DEL","set › [no plant while] op in(BOD,DEX) › op toe(DEL)","3","0","set-to-toe","uncategorized","","high","ok",""
"footbagmoves","footbagmoves-3adds.txt","Symp Mirage (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Symple Butterfly","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symple Butterfly (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Symple Reverse Swirl (far)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symple Reverse Swirl (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Symple Swirl (far)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Symple Swirl (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Tap","","Tapping Mirage","3","Toe > Op Out (DEX) >> Same In (DEX) > Op Toe (DEL)","toe","op out","","","","same in","toe","","","DEX|DEX|DEL","toe › op out(DEX) ⟫ same in(DEX) › op toe(DEL)","3","0","toe-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3adds.txt","Terrage","","Double Pixie","3","Toe > Same In (DEX) >> Same In (DEX) >> Op Toe (DEL)","toe","same in","","","","same in","toe","","","DEX|DEX|DEL","toe › same in(DEX) ⟫ same in(DEX) ⟫ op toe(DEL)","3","0","toe-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3adds.txt","Weaving Clipper","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Weaving Legover","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Weaving Pickup","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Whirl","","","3","SET > OP IN [DEX] > OP CLIP [XBD] [DEL]","set","op in","","","","","clip","","XBD","DEX|XBD|DEL","set › op in(DEX) › op clip(XBD,DEL)","3","0","set-single-dex-clip","single-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3adds.txt","Whirl (same side)","","","3","SET > OP IN [DEX] > OP CLIP [XBD] [DEL]","set","op in","","","","","clip","","XBD","DEX|XBD|DEL","set › op in(DEX) › op clip(XBD,DEL)","3","0","set-single-dex-clip","single-dex-family","","high","ok","fm:same-side-variant"
"footbagmoves","footbagmoves-3adds.txt","Zulu Legover","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3adds.txt","Zulu Pickup","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Pixie Whirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Pixie Whirl (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","PS Illusion","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","PS Mirage","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Pteradon","","Toe set os Double Over Down Dragon","4","Toe >> Op Out (DEX) >> Same Out (DEX) >> Op Dragon (XBD)(DEL)","toe","op out","","","","same out","Op Dragon (XBD)(DEL)","","XBD","DEX|DEX|XBD|DEL","toe ⟫ op out(DEX) ⟫ same out(DEX) ⟫ op(XBD,DEL)","4","0","toe-double-dex-?","double-dex-family","dragon","medium","needs_review",""
"footbagmoves","footbagmoves-4adds.txt","Puck","","Pixie Ducking Legover","4","Toe > Same In (DEX) >> Duck (BOD) >> Op Out (DEX) > Same Toe (DEL)","toe","same in","","","duck","op out","toe","","","DEX|BOD|DEX|DEL","toe › same in(DEX) ⟫ duck(BOD) ⟫ op out(DEX) › same toe(DEL)","4","0","toe-duck-toe","duck-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Quagmire","","Quantum Gyro Mirage","4","Toe > Op In (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL)","toe","op in","","","back-spin","op in","toe","","","DEX|BOD|DEX|DEL","toe › op in(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op toe(DEL)","4","0","toe-spin-toe","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Quantum Butterfly (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Quantum Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Reverse Swirling Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Reverse Whirling Rake","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Revstein","","Double Reverse Swirl","4","Clip >> Same Front Swirl (DEX) >> Same Fornt Swirl (DEX)(XDEX) > Same Clip (XBD)(DEL)","clip","same front swirl","","","","same [XDEX]","clip","","XBD","DEX|DEX|XDEX|XBD|DEL","clip ⟫ same front swirl(DEX) ⟫ same(DEX,XDEX) › same clip(XBD,DEL)","5","-1","clip-front-swirl-clip","swirl-family","fornt swirl","medium","needs_review","add-delta:-1"
"footbagmoves","footbagmoves-4adds.txt","Ripstein","","Double Swirl","4","Clip >> Same Back Swirl (DEX) >> Same Back Swirl (DEX) > Same Clip (XBD)(DEL)","clip","same back swirl","","","","same back swirl","clip","","XBD","DEX|DEX|XBD|DEL","clip ⟫ same back swirl(DEX) ⟫ same back swirl(DEX) › same clip(XBD,DEL)","4","0","clip-back-swirl-clip","swirl-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Ripwalk","","Stepping Far Butterfly","4","Clip > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","clip","op in","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","clip › op in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","clip-walk-clip","butterfly-walk-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Royale","","Paradox Grifter","4","Clip >> Same Out (DEX)(PDX) >> Same Clip (XBD)(DEL)","clip","same out [PDX]","","","","","clip","","XBD","DEX|PDX|XBD|DEL","clip ⟫ same out(DEX,PDX) ⟫ same clip(XBD,DEL)","4","0","clip-paradox-clip","paradox-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Sidewalk","","Stepping Butterfly (same side)","4","Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","clip","op in","","","","same out","clip","","XBD","DEX|DEX|XBD|DEL","clip › op in(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","4","0","clip-walk-clip","butterfly-walk-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Slap","","Slapping Mirage","4","Toe > Op In (DEX) >> Same In (DEX)(XDEX) > Op Toe (DEL)","toe","op in","","","","same in [XDEX]","toe","","","DEX|DEX|XDEX|DEL","toe › op in(DEX) ⟫ same in(DEX,XDEX) › op toe(DEL)","4","0","toe-xdex-toe","xdex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Slapdown","","Slapping Butterfly","4","Toe > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","toe","op in","","","","same out","clip","","XBD","DEX|DEX|XBD|DEL","toe › op in(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Smog","","Pixie Double Legover","4","Toe > Same In (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","same in","op in","","","op out","toe","","","DEX|DEX|DEX|DEL","toe › same in(DEX) ⟫ op in(DEX) › op out(DEX) › same toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Smoke","","Pixie Drifter","4","Toe > Same In (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL)","toe","same in","","","","op in","clip","","XBD","DEX|DEX|XBD|DEL","toe › same in(DEX) ⟫ op in(DEX) › same clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Spinning Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Spinning Ducking Clipper","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Spinning Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Spinning Pdx Illusion","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Spinning Pdx Mirage","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Stepping Eggbeater (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Stepping Illusion (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Stepping Mirage (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Stepping Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Stepping Osis (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Swifter","","Drifter Swirl","4","Clip >> Same In (DEX)(PDX) > Same Back Swirl (DEX) > Same Clip (XBD)(DEL)","clip","same in [PDX]","","","","same back swirl","clip","","XBD","DEX|PDX|DEX|XBD|DEL","clip ⟫ same in(DEX,PDX) › same back swirl(DEX) › same clip(XBD,DEL)","5","-1","clip-back-swirl-clip","swirl-family","","high","ok","add-delta:-1"
"footbagmoves","footbagmoves-4adds.txt","Symp Whirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Symp Whirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Symp Whirl (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Symposium Eggbeater","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Tap Dance","","Pixie ss Original Tap","4","Toe > Same In (DEX) >> Same Out (DEX) > Same In (DEX) > Op Toe (DEL)","toe","same in","same out","","","same in","toe","","","DEX|DEX|DEX|DEL","toe › same in(DEX) ⟫ same out(DEX) › same in(DEX) › op toe(DEL)","4","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Tapdown","","Tapping Butterfly","4","Toe > Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","toe","op out","","","","same out","clip","","XBD","DEX|DEX|XBD|DEL","toe › op out(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Tombstone","","Stepping Drifter (same side)","4","Clip > Op In (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL)","clip","op in","","","","same in","clip","","XBD","DEX|DEX|XBD|DEL","clip › op in(DEX) ⟫ same in(DEX) › same clip(XBD,DEL)","4","0","clip-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Torque","","Miraging Osis","4","Clip >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","clip","op in","","","front-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ op in(DEX) › [front] spin(BOD) › op clip(XBD,DEL)","4","0","clip-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Torque (same side)","","Miraging Osis","4","Clip >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","clip","op in","","","front-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ op in(DEX) › [front] spin(BOD) › op clip(XBD,DEL)","4","0","clip-spin-clip","spin-family","","high","ok","fm:same-side-variant"
"footbagmoves","footbagmoves-4adds.txt","Torus","","Fyro Mirage","4","Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Toe (DEL)","toe","same out","","","back-spin","op in","toe","","","DEX|BOD|DEX|DEL","toe › same out(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op toe(DEL)","4","0","toe-spin-toe","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Tremor","","Tapping Drifter","4","Toe > Op Out (DEX) >> Same In (DEX) > Same Clip (XBD)(DEL)","toe","op out","","","","same in","clip","","XBD","DEX|DEX|XBD|DEL","toe › op out(DEX) ⟫ same in(DEX) › same clip(XBD,DEL)","4","0","toe-double-dex-clip","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Triple ATW in-out","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Triple ATW out-in","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Tripwalk","","Quantum Butterfly","4","Toe > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","toe","op in","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","toe › op in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","toe-walk-clip","butterfly-walk-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Twirl","","Reverse Swirling Osis","4","Clip >> Same Front Swirl (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL)","clip","same front swirl","","","back-spin","","clip","","XBD","DEX|BOD|XBD|DEL","clip ⟫ same front swirl(DEX) › [back] spin(BOD) › op clip(XBD,DEL)","4","0","clip-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Vortex","","Gyro Drifter","4","Clip >> (back) Spin (BOD) >> Same In (DEX) > Same Clip (XBD)(DEL)","clip","","","","back-spin","same in","clip","","XBD","BOD|DEX|XBD|DEL","clip ⟫ [back] spin(BOD) ⟫ same in(DEX) › same clip(XBD,DEL)","4","0","clip-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Wahnsinn","","Pixie Ducking Spinning Toe","4","Toe > Same In (DEX) >> Duck (BOD) >> (front) Spin (BOD) > Op Toe (DEL)","toe","same in","","","duck|front-spin","","toe","","","DEX|BOD|BOD|DEL","toe › same in(DEX) ⟫ duck(BOD) ⟫ [front] spin(BOD) › op toe(DEL)","4","0","toe-duck-toe","duck-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Weaving Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Weaving Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Weaving Whirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whale Tail","","Surging Legover","4","Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Op Toe (DEL)","clip","","","","back-spin","same in|op out","toe","","","BOD|DEX|DEX|DEL","clip › [back] spin(BOD) › same in(DEX) ⟫ op out(DEX) › op toe(DEL)","4","0","clip-spin-toe","spin-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","What!?","","Butterflying Symposium Reverse Swirling Toe","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whirling far Butterfly","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whirling pdx Mirage","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whirling Rake","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whirling Swirl","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-4adds.txt","Whirr","","Double Whirl","4","Clip >> Op Front Whirl (DEX) >> Same Front Whirl (DEX)(XDEX) > Op Clip (XBD)(DEL)","clip","op front whirl","","","","same front whirl [XDEX]","clip","","XBD","DEX|DEX|XDEX|XBD|DEL","clip ⟫ op front whirl(DEX) ⟫ same front whirl(DEX,XDEX) › op clip(XBD,DEL)","5","-1","clip-front-whirl-clip","whirl-family","","high","ok","add-delta:-1"
"footbagmoves","footbagmoves-4adds.txt","Witchdoctor","","Atomic Symposium Mirage","4","Toe > Op Out (DEX) >> (no plant while) Op In (DEX)(XDEX)(BOD) > Op Toe (DEL)","toe","op out","","no plant while","","op in [XDEX,BOD]","toe","","","DEX|DEX|XDEX|BOD|DEL","toe › op out(DEX) ⟫ [no plant while] op in(DEX,XDEX,BOD) › op toe(DEL)","5","-1","toe-xdex-toe","xdex-family","","high","ok","add-delta:-1"
"footbagmoves","footbagmoves-4adds.txt","Zig Zag","","Swirling Reverse Swirl","4","Clip > Same Back Swirl (DEX) >> Same Front Swirl (DEX) > Same Clip (XBD)(DEL)","clip","same back swirl","","","","same front swirl","clip","","XBD","DEX|DEX|XBD|DEL","clip › same back swirl(DEX) ⟫ same front swirl(DEX) › same clip(XBD,DEL)","4","0","clip-back-swirl-clip","swirl-family","","high","ok",""
"footbagmoves","footbagmoves-4adds.txt","Zipwalk","","Zipper Stepping Op Butterfly Zipper","4","XBD Toe > Op In (DEX) >> Op Out (DEX) > Op XBD Toe (XBD)(DEL)","named:xbd toe","op in","","","","op out","Op XBD Toe (XBD)(DEL)","","XBD","DEX|DEX|XBD|DEL","XBD Toe › op in(DEX) ⟫ op out(DEX) › op(XBD,DEL)","4","0","?-walk-?","butterfly-walk-family","xbd toe|xbd toe","low","needs_review",""
"footbagmoves","footbagmoves-4adds.txt","Zulu Le Loup","","Zulu Butterfly","4","Clip >> Dive (BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL)[/quote]","clip","","","","dive","op out","clip","","XBD","BOD|DEX|XBD|DEL","clip ⟫ dive(BOD) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","clip-dive-clip","dive-family","[/quote]","medium","needs_review",""
"footbagmoves","footbagmoves-4adds.txt","Zulu Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-5-6adds.txt","Trixie","","Triple Pixie","5","Toe > Same In (DEX) >> Same In (DEX) >> Same In (DEX)(XDEX) > Op Toe (DEL)","toe","same in","same in","","","same in [XDEX]","toe","","","DEX|DEX|DEX|XDEX|DEL","toe › same in(DEX) ⟫ same in(DEX) ⟫ same in(DEX,XDEX) › op toe(DEL)","5","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Trochus","","Atomic Flail","5","Toe > Op Out (DEX) >> (no plant while) Op Out (DEX)(XDEX)(BOD) > Op Toe (DEL)","toe","op out","","no plant while","","op out [XDEX,BOD]","toe","","","DEX|DEX|XDEX|BOD|DEL","toe › op out(DEX) ⟫ [no plant while] op out(DEX,XDEX,BOD) › op toe(DEL)","5","0","toe-xdex-toe","xdex-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Tutifruti","","Frootie Legover","5","Toe > (rooted) Same In (DEX)(BOD) > Op In (DEX) >> Op Out (DEX) > Same Toe (DEL)","toe","same in [BOD]","op in","rooted","","op out","toe","","","DEX|BOD|DEX|DEX|DEL","toe › [rooted] same in(DEX,BOD) › op in(DEX) ⟫ op out(DEX) › same toe(DEL)","5","0","toe-multi-dex-toe","multi-dex-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Vertigo","","Ducking Paradox Drifter","5","Clip >> Duck (BOD) >> Same In (DEX)(PDX) > Same Clip (XBD)(DEL)","clip","","","","duck","same in [PDX]","clip","","XBD","BOD|DEX|PDX|XBD|DEL","clip ⟫ duck(BOD) ⟫ same in(DEX,PDX) › same clip(XBD,DEL)","5","0","clip-duck-clip","duck-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Wentletrappe","","Fyro Double Legover","5","Toe > Same Out (DEX) >> (back) Spin (BOD) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL)","toe","same out","","","back-spin","op in|op out","toe","","","DEX|BOD|DEX|DEX|DEL","toe › same out(DEX) ⟫ [back] spin(BOD) ⟫ op in(DEX) › op out(DEX) › same toe(DEL)","5","0","toe-spin-toe","spin-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Whirlwalk","","Blazing Paradox Whirl","5","Clip > Front Whirl (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL)","clip","front whirl","","","","op front whirl [PDX]","clip","","XBD","DEX|DEX|PDX|XBD|DEL","clip › front whirl(DEX) ⟫ op front whirl(DEX,PDX) › op clip(XBD,DEL)","5","0","clip-front-whirl-clip","whirl-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Whisk","","Paradox Symposium Eggbeater","5","Clip >> (no plant while) Same Out (DEX)(BOD)(PDX) > Op Out (DEX) > Same Toe (DEL)","clip","same out [BOD,PDX]","","no plant while","","op out","toe","","","DEX|BOD|PDX|DEX|DEL","clip ⟫ [no plant while] same out(DEX,BOD,PDX) › op out(DEX) › same toe(DEL)","5","0","clip-paradox-toe","paradox-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Yoda","","Pixie Quantum Butterfly","5","Toe > Same In (DEX) >> Op In (DEX) > Plant > Op Out (DEX) > Op Clip (XBD)(DEL)","toe","same in","op in","","","op out","clip","","XBD","DEX|DEX|DEX|XBD|DEL","toe › same in(DEX) ⟫ op in(DEX) › Plant › op out(DEX) › op clip(XBD,DEL)","5","0","toe-multi-dex-clip","multi-dex-family","plant","medium","needs_review",""
"footbagmoves","footbagmoves-5-6adds.txt","Zulu Whirl","","","5","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-5-6adds.txt","69","","Nuclear Drifter","6","Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Same Clip (XBD)(DEL)","clip","same out [PDX]","","","","op in [XDEX]","clip","","XBD","DEX|PDX|DEX|XDEX|XBD|DEL","clip › same out(DEX,PDX) ⟫ op in(DEX,XDEX) › same clip(XBD,DEL)","6","0","clip-xdex-clip","xdex-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Anoxia","","Spinning Ducking Paradox Symposium Mirage","6","Clip >> (back) Spin (BOD) > Duck (BOD) >> (no plant while) Op In (DEX)(PDX)(BOD) > Op Toe (DEL)","clip","","","","back-spin|duck","op in [PDX,BOD]","toe","","","BOD|BOD|DEX|PDX|BOD|DEL","clip ⟫ [back] spin(BOD) › duck(BOD) ⟫ [no plant while] op in(DEX,PDX,BOD) › op toe(DEL)","6","0","clip-spin-toe","spin-family","","high","ok",""
"footbagmoves","footbagmoves-5-6adds.txt","Arch Nemesis","","Barraging ss Double Double Down","6","Clip > Op In (DEX) > Same In (DEX) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","clip","op in","same in","","","same out|same out","clip","","XBD","DEX|DEX|DEX|DEX|XBD|DEL","clip › op in(DEX) › same in(DEX) ⟫ same out(DEX) › same out(DEX) › op clip(XBD,DEL)","6","0","clip-multi-dex-clip","multi-dex-family","","high","ok",""
