"canonical_slug","display_name","source","source_file","source_adds","derived_adds","add_formula","symbolic_notation_raw","parsed_symbol_sequence","derived_symbolic_family","derived_topology_family","doctrine_status","first_class","curator_review_needed","publication_status","unresolved_questions","provenance_notes","parser_notes","review_status"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"double-spinning-osis","Double Spinning Osis","footbagmoves","footbagmoves-3-4adds.txt","4","","body(1) + body(1) + osis(3) --> 5 ADDs","","","no-notation","no-notation","hedged","false","true","observational","Multiplicity compound (two spins before osis); canonical vs modifier.","FB.org 5-ADD confirms 'Double Spinning Osis' (source_adds=5; jobs='SET > SPIN [BOD] > SPIN [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21.","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","clip ⟫ op out(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","clip-double-dex-clip","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> Same Back Swirl (BOD) >> Same Back Swirl (BOD) > Same Dragon (XBD)(DEL)","clip ⟫ same back swirl(BOD) ⟫ same back swirl(BOD) › same(XBD,DEL)","clip-back-swirl-?","swirl-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL)","clip ⟫ op back whirl(DEX) › [back] spin(BOD) › same clip(XBD,DEL)","clip-spin-whirl","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> Op Back Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL)","clip ⟫ op back whirl(DEX) › [back] spin(BOD) › same clip(XBD,DEL)","clip-spin-whirl","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","toe › same in(DEX) › same in(DEX) ⟫ op out(DEX) › same toe(DEL)","toe-multi-dex-toe","multi-dex-family","","","","","","","","ok"
