fm_name,target_slug,target_canonical,divergence_type,fm_technical_name,flag
Whale Tail,surging_legover,surging legover,folk-name,Surging Legover,evidence-only (doctrine operator)
Whirling far Butterfly,whirling_butterfly,whirling-butterfly,positional/directional,,clean
Whirr,double_whirl,double-whirl,already-an-alias,Double Whirl,covered
Zig Zag,swirling_reverse_swirl,swirling reverse swirl,folk-name,Swirling Reverse Swirl,clean
Zulu Le Loup,zulu_butterfly,zulu butterfly,folk-name,Zulu Butterfly,evidence-only (doctrine operator)
Trochus,atomic_flail,atomic-flail,folk-name,Atomic Flail,clean
Vertigo,ducking_paradox_drifter,ducking-paradox-drifter,folk-name,Ducking Paradox Drifter,clean
Whirlwalk,whirling_whirl,whirling-whirl,already-an-alias,Blazing Paradox Whirl,covered
Whisk,paradox_symposium_eggbeater,paradox-symposium-eggbeater,abbreviation/short-folk,Paradox Symposium Eggbeater,clean
69,nuclear_drifter,nuclear-drifter,already-an-alias,Nuclear Drifter,covered
Cristal,quantum_ducking_whirl,quantum-ducking-whirl,folk-name,Quantum Ducking Whirl,evidence-only (doctrine operator)
Croissant,pixie_symposium_whirling_swirl,pixie-symposium-whirling-swirl,folk-name,Pixie Symposium Whirling Swirl,clean
Fission,barraging_illusion,barraging-illusion,already-an-alias,Furious Illusion,covered
Forquelift,fairy_ducking_torque,fairy-ducking-torque,folk-name,Fairy Ducking Torque,clean
Golden Shower,stepping_ducking_symposium_eggbeater,stepping-ducking-symposium-eggbeater,already-an-alias,Blurry Ducking Eggbeater,covered
Kiwi,tapping_double_over_down,tapping-double-over-down,abbreviation/short-folk,Tapping Double Over Down,clean
Marius,spinning_torque,spinning torque,already-an-alias,Spinning Paradox Torque,covered
Mofly,miraging_symposium_double_over_down,miraging-symposium-double-over-down,abbreviation/short-folk,Miraging Symposium Double Over Down,evidence-only (doctrine operator)
Phobia,fairy_mobius,fairy-mobius,already-an-alias,Fyro Torque,covered
Quark,quantum_torque,quantum-torque,already-an-alias,Quantum Torque,covered
S&M Smasher,atomic_barrage,atomic-barrage,folk-name,Atomic Barrage,clean
Smashwalk,atomic_miraging_butterfly,atomic-miraging-butterfly,folk-name,Atomic Miraging Butterfly,evidence-only (doctrine operator)
Superduperfly,spinning_superfly,spinning-superfly,already-an-alias,Spinning Symposium Double Over Down,covered
Terminator,nuclear_double_leg_over,nuclear-double-leg-over,already-an-alias,Nuclear Double Legover,covered
