set_slug,set_name,source_url,source_id,exists_as_modifier,exists_as_trick,our_existing_slug,our_existing_kind,status,notes
blazing,Blazing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,blazing,modifier_slug,known_modifier,Already a modifier in dictionary (modifier_slug).
furious,Furious,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,furious,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
hopping,Hopping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
nuclear,Nuclear,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,nuclear,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
null,Null,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
quasi,Quasi,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
rifling,Rifling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
shattering,Shattering,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
shooting,Shooting,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,shooting,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
sliding,Sliding,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
smiling,Smiling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
stepping,Stepping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,stepping,modifier_slug,known_modifier,Already a modifier in dictionary (modifier_slug).
swirling,Swirling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,swirling,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
spinning,Spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,spinning,modifier_slug,known_modifier,Already a modifier in dictionary (modifier_slug).
airing,Airing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
blistering,Blistering,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
double-spinning,Double Spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
fairy-spinning,Fairy Spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
inspinning,Inspinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,inspinning,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
leaning,Leaning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
neutron,Neutron,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
pixie-spinning,Pixie Spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
radiative,Radiative,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
slicing,Slicing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
surging,Surging,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,Y,surging,active_trick,confirmed_set_dict_disagrees,User-confirmed 2026-05-04: 'Surging' is a SET. Dictionary currently has slug 'surging' as category='compound'; dictionary update pending.
twinspinning,Twinspinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
