source_name,alt_name,add_value,showmove_id,source_url,notation,tags_summary,description,family_hint,category_hint
Superfly,Symposium Barfly,5,242,http://www.footbag.org/newmoves/showmove/242,CLIP (plant) > (no plant while) SAME OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[bod] [dex] [dex] [xbd] [del],,,compound
Symposium Torque,NO PLANT WHILE,5,178,http://www.footbag.org/newmoves/showmove/178,SET > (NO PLANT WHILE) OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],[bod] [dex] [bod] [xbd] [del],,torque,compound
Fusion,Atomic Double Over Down,5,167,http://www.footbag.org/newmoves/showmove/167,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],A Reverse Miraging Down Double-Down.,,compound
Blistering Whirl,back,5,285,http://www.footbag.org/newmoves/showmove/285,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],[dex] [bod] [dex] [xbd] [del],A whirling gyro whirl.,whirl,compound
Voodoo,Paradox Symposium Blur,5,157,http://www.footbag.org/newmoves/showmove/157,CLIP > SAME IN [DEX] [BOD] > (NO PLANT WHILE) OP IN [BOD] [DEX] > OP TOE [DEL],[bod] [dex] [bod] [dex] [del],,,compound
Blurrage,Stepping Paradox Barrage,5,150,http://www.footbag.org/newmoves/showmove/150,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],[dex] [pdx] [dex] [dex] [del],Eg. Right clipper set- left leg in to out dexterity- two right leg in to out dexterities to a left toe delay.,mirage,compound
Fog,Stepping Paradox Double Leg Over,5,161,http://www.footbag.org/newmoves/showmove/161,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],[dex] [pdx] [dex] [dex] [del],A Blur with an extra leg over at the end.,legover,compound
Blurry Drifter,Stepping Paradox Drifter,5,99,http://www.footbag.org/newmoves/showmove/99,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],[dex] [pdx] [dex] [xbd] [del],,clipper,compound
Bedwetter,Stepping Paradox Eggbeater,5,108,http://www.footbag.org/newmoves/showmove/108,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],[dex] [pdx] [dex] [dex] [del],Eg. From a right clipper delay- quickly plant the right leg and bring the left leg over the bag from in to out. Then bring the right leg around the bag from out to in and the bring the left leg around the bag from out to in and catch on a left toe delay.,,compound
Blurry Whirl,Stepping Paradox Whirl,5,141,http://www.footbag.org/newmoves/showmove/141,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [xbd] [del],,whirl,compound
Ducking Barfly,,5,248,http://www.footbag.org/newmoves/showmove/248,CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[bod] [dex] [dex] [xbd] [del],,,compound
Tomahawk,Ducking Paradox Whirl,5,235,http://www.footbag.org/newmoves/showmove/235,CLIP > DUCK [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],[bod] [pdx] [dex] [xbd] [del],,whirl,compound
Barroque,BACK,5,152,http://www.footbag.org/newmoves/showmove/152,CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [dex] [bod] [xbd] [del],A barrage into an osis. Eg. From a right foot clipper delay quickly plant the right foot and hop off the left leg bringing it around the footbag from in to out twice. As you complete the second dexterity hop off the right foot and turn to the left catching the footbag in a right foot osis.,,compound
Spyro Gyro,Gyro Butterfly Swirl,5,176,http://www.footbag.org/newmoves/showmove/176,CLIP > (BACK) SPIN [BOD] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],[bod] [dex] [dex] [xbd] [del],A gyrating butterfly swirl delay. Eg. From a right clipper set somewhat behind you- turn to the right passing the footbag behind your back and bring the right leg over the footbag from out to in (butterfly motion) without ever putting the right leg down. Now land on the right leg as you complete a swirl with the left leg.,,compound
Flurricane,Gyro Flurry,5,289,http://www.footbag.org/newmoves/showmove/289,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL] or TOE > (back) SPIN [BOD] > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],[bod] [dex] [dex] [dex] [del],,,compound
Mobius,Gyro Torque,5,179,http://www.footbag.org/newmoves/showmove/179,CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],[bod] [dex] [bod] [xbd] [del],Eg. Right clipper set- turn so the bag passes behind your back (clockwise)- then without planting your right foot- spin into a right leg mirage and catch the footbag on a left Osis.,torque,compound
Nuclear Whirl,,5,278,http://www.footbag.org/newmoves/showmove/278,CLIP > SAME OUT [PDX] [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],[pdx] [dex] [dex] [xbd] [del],,whirl,compound
Pixie Double Over Down,plant,5,244,http://www.footbag.org/newmoves/showmove/244,TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],,,compound
Pogo Paradox Eggbeater,no plant while,5,165,http://www.footbag.org/newmoves/showmove/165,CLIP > (no plant while) OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],[dex] [pdx] [dex] [dex] [del],Eg. Do a quick right pogo set to a right leg out to in dexterity- to a left leg out to in dexterity to left toe delay.,legover,compound
Plasma,Quantum Double Over Down,5,249,http://www.footbag.org/newmoves/showmove/249,TOE > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],,,compound
Shooting Mirage,,5,241,http://www.footbag.org/newmoves/showmove/241,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP IN [DEX] > OP TOE [DEL],[dex] [pdx] [dex] [dex] [del],,mirage,compound
Scorpion's Tail,Spinning Down Double-Down,5,103,http://www.footbag.org/newmoves/showmove/103,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[bod] [dex] [dex] [xbd] [del],A spinning down-double-down.,,compound
Lotus,Spinning Paradox Drifter,5,279,http://www.footbag.org/newmoves/showmove/279,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL]orTOE > (back) SPIN [BOD] > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],[bod] [pdx] [dex] [xbd] [del],,,compound
Spinning Paradox Whirl,back,5,276,http://www.footbag.org/newmoves/showmove/276,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]orTOE > (back) SPIN [BOD] > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],[bod] [pdx] [dex] [xbd] [del],,whirl,compound
Bullwhip,Spyro Double Down,5,290,http://www.footbag.org/newmoves/showmove/290,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL] or TOE > (back) SPIN [BOD] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[bod] [dex] [dex] [xbd] [del],,,compound
Blurrier,Stepping Down Double Down,5,243,http://www.footbag.org/newmoves/showmove/243,CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],,mirage,compound
Grave Digger,Stepping Torque,5,280,http://www.footbag.org/newmoves/showmove/280,CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [dex] [bod] [xbd] [del],This is a barroque with a plant between the two dexterities.,,compound
Stepping Whirling Swirl,plant,5,245,http://www.footbag.org/newmoves/showmove/245,CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],,whirl,compound
Blurriest,,5,158,http://www.footbag.org/newmoves/showmove/158,CLIP > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [xbd] [del],A stepping opposite side barfly Eg. From a right foot clipper- quickly plant the right foot and bring the left leg over the bag from in to out. Then as you quickly plant the left leg- hop off the right foot and bring it around the bag from out to in twice. Then end on a left foot clipper delay.,mirage,compound
Avalanche,Stepping Ducking Paradox Illusion,5,251,http://www.footbag.org/newmoves/showmove/251,CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],[dex] [bod] [pdx] [dex] [del],,,compound
Spike Hammer,Stepping Ducking Paradox Mirage,5,250,http://www.footbag.org/newmoves/showmove/250,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],[dex] [bod] [pdx] [dex] [del],,,compound
Bigwalk,Surging Butterfly,5,292,http://www.footbag.org/newmoves/showmove/292,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],,A gyro ripwalk.,,other
Surge,Surging Paradox Mirage,5,295,http://www.footbag.org/newmoves/showmove/295,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],,"A gyro miraging paradox mirage, or gyro blur.",,other
Nemesis,,6,188,http://www.footbag.org/newmoves/showmove/188,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [dex] [dex] [dex] [xbd] [del],A barraging barfly. Eg. From a right clipper set- circle the bag from in to out twice with the left leg then circle twice with the right leg to a left clipper delay.,,compound
Paratoxic,Paradox Miraging Symposium Whirl,6,277,http://www.footbag.org/newmoves/showmove/277,CLIP > SAME IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],[pdx] [dex] [bod] [dex] [xbd] [del],,,compound
Pogo Paradox Blender,Pogo Op Blender,6,191,http://www.footbag.org/newmoves/showmove/191,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],[dex] [pdx] [dex] [bod] [xbd] [del],,blender,compound
Pogo Paradox Da Da Curve,Pogo Op Da Da Curve,6,192,http://www.footbag.org/newmoves/showmove/192,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [xbd] [del],Eg. Execute a pogo set from your right clipper- then bring your right around the footbag from in to out- (in a paradox mirage motion) then hop to the right- bringing your left leg over the footbag from out to in- ending in a right clipper delay.,,compound
Pogo Paradox Torque,Pogo Op Torque,6,193,http://www.footbag.org/newmoves/showmove/193,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [bod] [xbd] [del],Eg. Right clipper delay- hop over the bag with the left leg without putting the right leg down. Then bring the right leg around the bag from in to out simultaneously turning to the right and catching the bag on a left foot osis - or just ask Tuan Vu,torque,compound
Pogo Paradox Whirling Swirl,Pogo Op Whirling Swirl,6,195,http://www.footbag.org/newmoves/showmove/195,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [xbd] [del],Eg. Right clipper delay- hop over the bag with the left leg without putting the right leg down. Then bring the right leg around the bag in a whirling motion. As your foot is on the way down hop off the left foot and complete a left foot swirl - or just ask Kenny Shults.,whirl,compound
Pogo Voodoo,no plant while,6,194,http://www.footbag.org/newmoves/showmove/194,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],[dex] [pdx] [dex] [bod] [dex] [del],A Pogo Paradox Symposium Blur.,,compound
Food Processor,Blurry Blender,6,186,http://www.footbag.org/newmoves/showmove/186,CLIP > OP IN [DEX] > OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],[dex] [dex] [bod] [bod] [xbd] [del],Eg. Right clipper set- quick right plant- left leg in to out dexterity. Right leg whirling motion- when over the bag turn to the left into a right osis.,blender,compound
Blurry Symposium Whirl,Stepping Paradox Symposium Whirl,6,237,http://www.footbag.org/newmoves/showmove/237,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],[dex] [pdx] [bod] [dex] [xbd] [del],,whirl,compound
Blurry Torque,Stepping Paradox Torque,6,238,http://www.footbag.org/newmoves/showmove/238,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [bod] [xbd] [del],,torque,compound
Blurry Whirling Swirl,Stepping Paradox Whirling Swirl,6,240,http://www.footbag.org/newmoves/showmove/240,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [xbd] [del],,whirl,compound
Symposium Tomahawk,Ducking Paradox Symposium Whirl,6,236,http://www.footbag.org/newmoves/showmove/236,CLIP > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],[bod] [pdx] [bod] [dex] [xbd] [del],,whirl,compound
Big Apple,Gyro Symposium Torque,6,239,http://www.footbag.org/newmoves/showmove/239,CLIP > (back) SPIN [BOD] > (no plant while) SAME IN [BOD] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[bod] [bod] [dex] [bod] [xbd] [del],,,compound
Shooting Butterfly,,6,234,http://www.footbag.org/newmoves/showmove/234,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [xbd] [del],,butterfly,compound
Spinning Paradox Blender,back,6,246,http://www.footbag.org/newmoves/showmove/246,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL] or TOE > (back) SPIN [BOD] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],[bod] [pdx] [dex] [bod] [xbd] [del],,blender,compound
Whirlwind,Spinning Paradox Symposium Whirl,6,254,http://www.footbag.org/newmoves/showmove/254,CLIP > (back) SPIN [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL] or TOE > (back) SPIN [BOD] (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],[bod] [pdx] [bod] [dex] [xbd] [del],,whirl,compound
Marius,Spinning Paradox Torque,6,175,http://www.footbag.org/newmoves/showmove/175,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],[bod] [pdx] [dex] [bod] [xbd] [del],A Spin into a torque.,torque,compound
Spinning Symposium Down Double Down,back,6,255,http://www.footbag.org/newmoves/showmove/255,CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[bod] [bod] [dex] [dex] [xbd] [del],,,compound
Torch-r Rack,Stepping Superfly,6,281,http://www.footbag.org/newmoves/showmove/281,CLIP > OP IN [DEX] (plant) > (no plant while) SAME OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [bod] [dex] [dex] [xbd] [del],A stepping symposium double over down.,,compound
Venom,Surging Barfly,6,296,http://www.footbag.org/newmoves/showmove/296,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,A gyro blurriest.,,other
Surreal,Surging Paradox Whirl,6,293,http://www.footbag.org/newmoves/showmove/293,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,A gyro blurry whirl.,,other
Surgery,Surging Symposium Reverse Whirl,6,294,http://www.footbag.org/newmoves/showmove/294,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > (no plant while) OP OUT [SYM] [DEX] > OP CLIP [XBD] [DEL],,A gyro miraging far symposium reverse whirl.,,other
Stepping Ducking Paradox Blender,back,7,267,http://www.footbag.org/newmoves/showmove/267,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],[dex] [bod] [pdx] [dex] [bod] [xbd] [del],,blender,compound
Gauntlet,Stepping Ducking Paradox Torque,7,232,http://www.footbag.org/newmoves/showmove/232,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [bod] [pdx] [dex] [bod] [xbd] [del],,torque,compound
Stepping P.S. Whirling x-body Rake,no plant while,7,264,http://www.footbag.org/newmoves/showmove/264,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP X-BODY RAKE [XBD] [DEL] [DEX],[dex] [pdx] [bod] [dex] [xbd] [del] [dex],,whirl,compound
Shooting Star,Shooting Double Over Down,7,265,http://www.footbag.org/newmoves/showmove/265,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [dex] [xbd] [del],,,compound
Shooting Torque,back,7,233,http://www.footbag.org/newmoves/showmove/233,CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],[dex] [pdx] [dex] [dex] [bod] [xbd] [del],,torque,compound
Stepping Ducking PS Whirl,no plant while,7,266,http://www.footbag.org/newmoves/showmove/266,CLIP > OP IN [DEX] > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],[dex] [bod] [pdx] [bod] [dex] [xbd] [del],,whirl,compound
